fecha_hora,hora,origen,p10,p50,p90
2027-01-01 00:00:00,0,simulado,8.82,87.00,128.21
2027-01-01 01:00:00,1,simulado,0.75,78.44,118.10
2027-01-01 02:00:00,2,simulado,-0.78,74.18,113.91
2027-01-01 03:00:00,3,simulado,-0.69,71.57,112.74
2027-01-01 04:00:00,4,simulado,-0.72,70.30,111.21
2027-01-01 05:00:00,5,simulado,-0.60,72.74,111.67
2027-01-01 06:00:00,6,simulado,2.68,82.50,131.41
2027-01-01 07:00:00,7,simulado,28.07,94.01,147.22
2027-01-01 08:00:00,8,simulado,35.45,108.43,178.00
2027-01-01 09:00:00,9,simulado,29.21,97.78,150.41
2027-01-01 10:00:00,10,simulado,7.32,89.79,128.42
2027-01-01 11:00:00,11,simulado,-0.67,80.61,121.51
2027-01-01 12:00:00,12,simulado,-1.96,76.04,121.53
2027-01-01 13:00:00,13,simulado,-2.76,72.45,115.16
2027-01-01 14:00:00,14,simulado,-2.49,73.77,111.27
2027-01-01 15:00:00,15,simulado,-0.59,80.97,115.76
2027-01-01 16:00:00,16,simulado,10.10,88.16,130.84
2027-01-01 17:00:00,17,simulado,26.25,109.77,145.81
2027-01-01 18:00:00,18,simulado,49.86,120.69,172.43
2027-01-01 19:00:00,19,simulado,75.41,122.51,177.61
2027-01-01 20:00:00,20,simulado,84.43,123.88,161.13
2027-01-01 21:00:00,21,simulado,67.11,117.17,150.78
2027-01-01 22:00:00,22,simulado,31.68,104.48,145.46
2027-01-01 23:00:00,23,simulado,9.65,94.27,133.31
2027-01-02 00:00:00,0,simulado,17.83,93.44,131.56
2027-01-02 01:00:00,1,simulado,12.12,74.49,122.70
2027-01-02 02:00:00,2,simulado,1.30,72.63,119.06
2027-01-02 03:00:00,3,simulado,-0.40,71.64,117.10
2027-01-02 04:00:00,4,simulado,-0.40,69.68,114.95
2027-01-02 05:00:00,5,simulado,-0.40,71.03,115.53
2027-01-02 06:00:00,6,simulado,-0.40,72.34,116.18
2027-01-02 07:00:00,7,simulado,-0.40,75.58,119.36
2027-01-02 08:00:00,8,simulado,-0.22,81.55,122.72
2027-01-02 09:00:00,9,simulado,-0.40,73.28,121.25
2027-01-02 10:00:00,10,simulado,-2.76,51.33,114.06
2027-01-02 11:00:00,11,simulado,-3.90,49.62,105.84
2027-01-02 12:00:00,12,simulado,-4.18,46.03,109.66
2027-01-02 13:00:00,13,simulado,-4.22,48.64,107.80
2027-01-02 14:00:00,14,simulado,-4.22,50.71,109.86
2027-01-02 15:00:00,15,simulado,-4.22,53.79,109.66
2027-01-02 16:00:00,16,simulado,-3.65,58.54,116.67
2027-01-02 17:00:00,17,simulado,-0.65,85.57,136.48
2027-01-02 18:00:00,18,simulado,23.14,99.92,156.92
2027-01-02 19:00:00,19,simulado,26.27,98.88,154.48
2027-01-02 20:00:00,20,simulado,32.04,95.64,152.91
2027-01-02 21:00:00,21,simulado,32.04,94.78,151.67
2027-01-02 22:00:00,22,simulado,20.86,88.89,139.53
2027-01-02 23:00:00,23,simulado,16.84,76.89,129.22
2027-01-03 00:00:00,0,simulado,17.83,88.95,130.81
2027-01-03 01:00:00,1,simulado,12.12,67.14,121.56
2027-01-03 02:00:00,2,simulado,1.30,61.23,119.06
2027-01-03 03:00:00,3,simulado,-0.40,55.66,117.10
2027-01-03 04:00:00,4,simulado,-0.40,50.70,112.94
2027-01-03 05:00:00,5,simulado,-0.40,49.96,115.53
2027-01-03 06:00:00,6,simulado,-0.40,58.68,115.80
2027-01-03 07:00:00,7,simulado,-0.40,66.17,119.36
2027-01-03 08:00:00,8,simulado,-0.22,76.66,124.95
2027-01-03 09:00:00,9,simulado,-0.40,79.62,124.97
2027-01-03 10:00:00,10,simulado,-2.76,60.80,115.18
2027-01-03 11:00:00,11,simulado,-3.90,46.18,98.78
2027-01-03 12:00:00,12,simulado,-4.18,43.81,99.75
2027-01-03 13:00:00,13,simulado,-4.22,39.77,101.48
2027-01-03 14:00:00,14,simulado,-4.22,41.51,102.05
2027-01-03 15:00:00,15,simulado,-4.22,48.81,104.79
2027-01-03 16:00:00,16,simulado,-3.65,67.10,115.78
2027-01-03 17:00:00,17,simulado,-0.65,89.01,136.48
2027-01-03 18:00:00,18,simulado,23.14,100.28,156.92
2027-01-03 19:00:00,19,simulado,26.27,98.15,154.48
2027-01-03 20:00:00,20,simulado,32.04,95.00,152.91
2027-01-03 21:00:00,21,simulado,32.04,94.78,151.67
2027-01-03 22:00:00,22,simulado,20.86,87.64,139.53
2027-01-03 23:00:00,23,simulado,16.84,81.83,126.03
2027-01-04 00:00:00,0,simulado,-0.37,82.09,120.74
2027-01-04 01:00:00,1,simulado,-0.65,75.77,117.06
2027-01-04 02:00:00,2,simulado,-2.22,68.74,113.94
2027-01-04 03:00:00,3,simulado,-1.10,65.37,112.69
2027-01-04 04:00:00,4,simulado,-1.10,65.50,110.93
2027-01-04 05:00:00,5,simulado,-0.85,67.21,113.78
2027-01-04 06:00:00,6,simulado,2.73,78.29,131.41
2027-01-04 07:00:00,7,simulado,28.14,93.29,147.20
2027-01-04 08:00:00,8,simulado,53.45,102.27,178.00
2027-01-04 09:00:00,9,simulado,31.52,97.69,151.59
2027-01-04 10:00:00,10,simulado,6.55,85.27,134.81
2027-01-04 11:00:00,11,simulado,-2.15,76.78,128.52
2027-01-04 12:00:00,12,simulado,-3.62,72.14,121.74
2027-01-04 13:00:00,13,simulado,-3.61,71.32,118.10
2027-01-04 14:00:00,14,simulado,-3.25,73.11,116.88
2027-01-04 15:00:00,15,simulado,-2.47,76.66,120.50
2027-01-04 16:00:00,16,simulado,3.13,81.49,131.57
2027-01-04 17:00:00,17,simulado,20.88,102.24,144.47
2027-01-04 18:00:00,18,simulado,49.86,113.48,172.43
2027-01-04 19:00:00,19,simulado,75.41,122.51,176.48
2027-01-04 20:00:00,20,simulado,77.70,123.88,156.61
2027-01-04 21:00:00,21,simulado,71.27,117.17,149.86
2027-01-04 22:00:00,22,simulado,31.68,104.17,142.81
2027-01-04 23:00:00,23,simulado,22.31,93.16,133.31
2027-01-05 00:00:00,0,simulado,7.79,91.42,120.74
2027-01-05 01:00:00,1,simulado,-0.63,79.57,116.21
2027-01-05 02:00:00,2,simulado,-1.10,78.12,112.33
2027-01-05 03:00:00,3,simulado,-0.81,74.94,108.69
2027-01-05 04:00:00,4,simulado,-1.10,70.32,108.56
2027-01-05 05:00:00,5,simulado,-0.78,73.95,113.73
2027-01-05 06:00:00,6,simulado,7.49,84.61,126.66
2027-01-05 07:00:00,7,simulado,28.30,101.42,144.45
2027-01-05 08:00:00,8,simulado,53.45,112.13,178.00
2027-01-05 09:00:00,9,simulado,39.79,101.38,151.76
2027-01-05 10:00:00,10,simulado,29.87,90.93,140.65
2027-01-05 11:00:00,11,simulado,18.25,83.11,132.99
2027-01-05 12:00:00,12,simulado,8.51,76.40,128.49
2027-01-05 13:00:00,13,simulado,0.02,73.00,120.83
2027-01-05 14:00:00,14,simulado,-0.70,74.26,116.88
2027-01-05 15:00:00,15,simulado,-0.24,81.12,120.50
2027-01-05 16:00:00,16,simulado,10.10,91.65,131.57
2027-01-05 17:00:00,17,simulado,28.30,109.31,145.48
2027-01-05 18:00:00,18,simulado,48.57,119.74,172.43
2027-01-05 19:00:00,19,simulado,73.72,122.51,177.61
2027-01-05 20:00:00,20,simulado,84.43,130.01,158.05
2027-01-05 21:00:00,21,simulado,71.27,117.46,151.79
2027-01-05 22:00:00,22,simulado,30.81,104.48,142.81
2027-01-05 23:00:00,23,simulado,22.31,94.27,133.31
2027-01-06 00:00:00,0,simulado,-0.37,82.09,121.49
2027-01-06 01:00:00,1,simulado,-0.78,75.47,117.17
2027-01-06 02:00:00,2,simulado,-2.22,67.54,113.91
2027-01-06 03:00:00,3,simulado,-0.81,65.37,108.69
2027-01-06 04:00:00,4,simulado,-1.76,65.50,108.56
2027-01-06 05:00:00,5,simulado,-0.78,69.97,111.88
2027-01-06 06:00:00,6,simulado,2.22,82.50,126.66
2027-01-06 07:00:00,7,simulado,20.54,94.01,147.20
2027-01-06 08:00:00,8,simulado,44.93,108.43,178.00
2027-01-06 09:00:00,9,simulado,31.29,98.35,150.53
2027-01-06 10:00:00,10,simulado,20.99,89.79,129.62
2027-01-06 11:00:00,11,simulado,13.94,79.17,121.51
