y,p10,p50,p90,valle,pico,spread,solar_GW,h_negativas_%
2027,22.93,65.91,108.93,-45.36,42.14,87.5,67.0,12.32
2028,20.93,63.41,107.36,-45.63,43.37,89.0,70.0,14.64
2029,19.15,62.34,106.38,-46.66,44.9,91.56,73.0,15.68
2030,17.21,60.61,104.97,-47.32,45.98,93.3,76.0,16.86
2031,16.94,60.54,105.2,-48.53,47.59,96.11,79.8,17.04
2032,16.12,60.0,105.65,-49.76,49.39,99.15,83.6,17.87
2033,15.94,60.51,106.22,-51.41,50.44,101.85,87.4,18.03
2034,15.35,60.41,106.59,-52.18,52.11,104.29,91.2,18.25
2035,14.9,60.44,106.63,-53.13,53.07,106.2,95.0,18.46
2036,15.05,61.15,107.3,-54.28,53.89,108.17,98.0,18.44
2037,14.9,60.74,107.62,-54.61,55.39,110.01,101.0,18.77
2038,14.88,60.93,108.02,-56.06,57.04,113.09,104.0,19.12
2039,14.66,60.24,108.47,-56.05,58.2,114.24,107.0,19.27
2040,14.22,60.87,108.92,-57.39,58.98,116.37,110.0,19.48
2041,14.02,60.45,108.7,-57.41,59.59,117.0,112.5,19.78
2042,14.07,60.46,109.07,-57.88,60.86,118.74,115.0,19.97
2043,13.71,60.53,109.43,-58.54,61.55,120.09,117.5,19.95
2044,13.61,60.4,109.7,-59.48,62.57,122.05,120.0,20.28
2045,13.38,60.12,109.74,-59.88,63.3,123.18,122.5,20.57
2046,13.01,60.51,110.17,-60.63,64.09,124.73,125.0,20.48
