a,p10,p50,p90,media,h_cero_%,solar_GW,spread
2027,11.02,67.67,133.42,75.66,13.16,67.0,106.33
2028,10.79,65.49,130.42,73.52,14.48,70.0,105.81
2029,9.28,62.0,125.56,69.76,15.72,73.0,102.63
2030,9.06,60.08,122.34,67.93,17.04,76.0,102.24
2031,8.7,58.58,119.68,66.37,17.96,79.8,100.67
2032,8.13,56.9,117.34,64.57,18.91,83.6,99.02
2033,8.06,55.82,114.8,63.32,19.8,87.4,98.55
2034,7.39,53.74,112.27,61.34,20.54,91.2,96.37
2035,7.67,53.53,111.68,61.21,21.38,95.0,96.37
2036,7.77,53.37,110.26,60.69,22.07,98.0,96.55
2037,7.11,51.98,108.8,59.44,22.42,101.0,94.88
2038,7.19,51.95,108.4,59.09,23.0,104.0,95.13
2039,6.69,50.64,107.77,58.28,23.55,107.0,94.18
2040,6.82,50.87,107.26,58.27,24.06,110.0,94.14
2041,6.45,50.47,106.64,57.66,24.41,112.5,93.52
2042,7.17,50.81,107.12,58.27,24.74,115.0,94.23
2043,6.86,50.71,106.54,57.94,25.04,117.5,94.56
2044,6.66,49.49,105.48,56.99,25.44,120.0,92.5
2045,6.5,48.98,104.6,56.34,25.78,122.5,91.74
2046,6.36,49.14,104.96,56.57,26.1,125.0,92.07
