variable,bloque,regla,motivo,evidencia,fuera_de
at_entsoe_D,precio: mercados vecinos,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive ch_entsoe_D · |r| = 0.966 · mayor asociación (0.466 frente a 0.460),"nucleo, minima, moderna"
be_entsoe_D,precio: mercados vecinos,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive de_lu_entsoe_D · |r| = 0.966 · referencia del bloque centroeuropeo,"nucleo, minima, moderna"
bil_total_purchases_mw_D,programas de casación,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive bil_total_sales_mw_D · |r| = 1.000 · mayor asociación (0.192 frente a 0.192),"nucleo, minima, moderna"
bil_total_sales_mw_D,programas de casación,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive bil_retail_free_buy_mw_D · |r| = 0.996 · mayor asociación (0.203 frente a 0.192),"nucleo, minima, moderna"
capinst_autoconsume_solar_pv_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_autoconsume_mw · |r| = 0.988 · mayor asociación (0.411 frente a 0.409),"nucleo, minima, moderna"
capinst_cogeneration_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_wind_mw · |r| = -0.951 · mayor asociación (0.409 frente a 0.367),"nucleo, minima, moderna"
capinst_other_renewable_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_autoconsume_mw · |r| = 0.968 · mayor asociación (0.411 frente a 0.411),"nucleo, minima, moderna"
capinst_solar_pv_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_renewable_mw · |r| = 0.999 · mayor asociación (0.409 frente a 0.409),"nucleo, minima, moderna"
capinst_solar_thermal_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_autoconsume_mw · |r| = 0.974 · mayor asociación (0.411 frente a 0.345),"nucleo, minima, moderna"
capinst_total_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_autoconsume_mw · |r| = 0.989 · mayor asociación (0.411 frente a 0.378),"nucleo, minima, moderna"
capinst_total_nonrenewable_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_coal_mw · |r| = 1.000 · mayor asociación (0.503 frente a 0.421),"nucleo, minima, moderna"
capinst_total_renewable_mw,capacidad instalada,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive capinst_total_autoconsume_mw · |r| = 0.989 · mayor asociación (0.411 frente a 0.409),"nucleo, minima, moderna"
ch_entsoe_D,precio: mercados vecinos,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive fr_entsoe_D · |r| = 0.965 · mayor asociación (0.500 frente a 0.466),"nucleo, minima, moderna"
cz_entsoe_D,precio: mercados vecinos,redundante (|r| ≥ 0.95),otra columna lleva la misma información,sobrevive de_lu_entsoe_D · |r| = 0.979 · referencia del bloque centroeuropeo,"nucleo, minima, moderna"
