familia,semilla,parametros,MAE_val,MAE_test,captura_val_%,captura_test_%,pico_1h_test_%,vs_naive_val_%
gru,42,196129,13.751,12.765,88.59,88.86,77.73,-31.1
gru,43,196129,13.626,12.926,88.01,88.46,77.73,-31.7
gru,44,196129,13.379,12.879,88.82,90.29,75.83,-32.9
conv1d_lstm,42,286305,14.528,13.677,87.71,89.9,77.25,-27.2
conv1d_lstm,43,286305,14.332,13.363,87.9,89.17,75.36,-28.1
conv1d_lstm,44,286305,13.931,14.087,88.71,90.27,77.25,-30.2
seq2seq,42,259681,14.417,13.07,87.34,89.37,70.14,-27.7
seq2seq,43,259681,13.723,13.044,88.33,89.24,75.36,-31.2
seq2seq,44,259681,13.931,12.897,88.41,90.08,76.78,-30.2
simplernn,43,34689,14.675,14.831,87.98,90.38,78.67,-26.4
simplernn,44,34689,14.674,13.55,87.47,88.55,72.51,-26.4
denso,42,566040,13.015,13.592,85.6,87.4,71.56,-34.7
denso,43,566040,12.724,14.945,88.43,90.21,77.25,-36.2
denso,44,566040,12.62,13.454,88.18,89.35,75.36,-36.7
seq2seq_absoluto,42,259681,15.439,15.152,90.52,92.59,83.89,-22.6
seq2seq_absoluto,43,259681,15.463,15.223,90.65,92.42,84.83,-22.5
seq2seq_absoluto,44,259681,14.891,15.022,89.16,93.36,84.83,-25.3
simplernn,42,34689,14.946,13.068,86.43,89.97,72.99,-25.1
lstm,42,322712,13.671,16.191,86.24,89.25,72.99,-31.5
lstm,43,322712,13.361,17.38,87.67,87.9,73.46,-33.0
lstm,44,322712,13.161,16.595,87.19,90.58,73.46,-34.0
boosting,42,10319,13.319,13.625,88.03,88.32,76.78,-33.2
boosting,43,10304,13.277,13.669,87.7,88.06,76.78,-33.4
boosting,44,11320,13.284,13.942,87.73,88.35,78.2,-33.4
