variable,es_entrada
fecha_pred,False
fecha_objetivo,False
ts,False
split,False
target_price,False
es_esios_D,False
es_esios_Dm1,False
es_esios_Dm6,False
hora,False
d1_dow,False
d1_month,False
d1_is_weekend,False
d1_is_festivo,False
d1_es_puente,False
d1_vispera_festivo,False
d1_regimen_tope_gas,False
meteo_es_forecast,False
imputado_apagon,False
ventana_pisa_apagon,False
pbf_publicado_D,False
pbf_completo_D,False
ree_demanda_prev,True
ree_gwind_prev,True
ree_gsolar_prev,True
pt_entsoe_D,True
fr_entsoe_D,True
de_lu_entsoe_D,True
it_nord_entsoe_D,True
ch_entsoe_D,True
be_entsoe_D,True
nl_entsoe_D,True
at_entsoe_D,True
pl_entsoe_D,True
cz_entsoe_D,True
spread_es_pt_D,True
spread_es_fr_D,True
spread_es_de_D,True
entsoe_load_Dm1,True
ree_netflow_fr_Dm1,True
ree_netflow_pt_Dm1,True
ree_netflow_ma_Dm1,True
total_net_flow_mw_Dm1,True
gen_peninsular_mw_Dm1,True
wind_mw_Dm1,True
pumping_cons_mw_Dm1,True
hydro_run_river_mw_Dm1,True
biomass_mw_Dm1,True
waste_mw_Dm1,True
other_renewable_mw_Dm1,True
oil_mw_Dm1,True
ree_gsolter_mw_Dm1,True
ree_gccgas_mw_Dm1,True
ree_gnuclear_mw_Dm1,True
ree_gotherthermal_mw_Dm1,True
ree_gcoal_mw_Dm1,True
solar_fv_mw_Dm1,True
hydro_dispatch_mw_Dm1,True
entsoe_load_Dm6,True
ree_netflow_fr_Dm6,True
ree_netflow_pt_Dm6,True
ree_netflow_ma_Dm6,True
total_net_flow_mw_Dm6,True
gen_peninsular_mw_Dm6,True
wind_mw_Dm6,True
pumping_cons_mw_Dm6,True
hydro_run_river_mw_Dm6,True
biomass_mw_Dm6,True
waste_mw_Dm6,True
other_renewable_mw_Dm6,True
oil_mw_Dm6,True
ree_gsolter_mw_Dm6,True
ree_gccgas_mw_Dm6,True
ree_gnuclear_mw_Dm6,True
ree_gotherthermal_mw_Dm6,True
ree_gcoal_mw_Dm6,True
solar_fv_mw_Dm6,True
hydro_dispatch_mw_Dm6,True
t2m_mean_met_Dm1,True
d2m_mean_met_Dm1,True
msl_mean_met_Dm1,True
wind10_mean_met_Dm1,True
wind100_mean_met_Dm1,True
tcc_mean_met_Dm1,True
ssrd_mean_met_Dm1,True
tp_acum_7d_met_Dm1,True
tp_acum_30d_met_Dm1,True
t2m_mean_met_Dm2,True
d2m_mean_met_Dm2,True
msl_mean_met_Dm2,True
wind10_mean_met_Dm2,True
wind100_mean_met_Dm2,True
tcc_mean_met_Dm2,True
ssrd_mean_met_Dm2,True
tp_acum_7d_met_Dm2,True
tp_acum_30d_met_Dm2,True
gas_mibgas,True
capinst_total_mw,True
capinst_total_renewable_mw,True
capinst_total_nonrenewable_mw,True
capinst_total_hybrid_mw,True
capinst_total_autoconsume_mw,True
capinst_hydro_mw,True
capinst_wind_mw,True
capinst_solar_pv_mw,True
capinst_solar_thermal_mw,True
capinst_other_renewable_mw,True
capinst_waste_nonrenewable_mw,True
capinst_autoconsume_solar_pv_mw,True
capinst_coal_mw,True
capinst_cogeneration_mw,True
d1_dow_sin,True
d1_dow_cos,True
d1_month_sin,True
d1_month_cos,True
d1_doy_sin,True
d1_doy_cos,True
hora_sin,True
hora_cos,True
pdbc_wind_mw_D,True
pdbc_solar_pv_mw_D,True
pdbc_solar_thermal_mw_D,True
pdbc_hydro_ugh_mw_D,True
pdbc_hydro_no_ugh_mw_D,True
pdbc_nuclear_mw_D,True
pdbc_coal_mw_D,True
pdbc_cogen_mw_D,True
pdbc_biomass_mw_D,True
pdbc_biogas_mw_D,True
pdbc_hybrid_mw_D,True
pdbc_ccgt_mw_D,True
pdbc_waste_mw_D,True
pdbc_other_renew_mw_D,True
pdbc_pumping_gen_mw_D,True
pdbc_pumping_cons_mw_D,True
pdbc_total_gen_mw_D,True
pdbc_unavailable_power_mw_D,True
pbfli_demand_free_market_mw_D,True
pbfli_demand_reference_mw_D,True
pbfli_demand_direct_mw_D,True
pbfli_demand_aux_mw_D,True
pbfli_total_demand_mw_D,True
pbfli_net_flow_fr_mw_D,True
pbfli_net_flow_pt_mw_D,True
pbfli_net_flow_ma_mw_D,True
pbfli_net_flow_ad_mw_D,True
pbfli_total_net_flow_mw_D,True
bil_total_sales_mw_D,True
bil_total_purchases_mw_D,True
bil_retail_free_sales_mw_D,True
bil_retail_free_buy_mw_D,True
bil_retail_last_resort_mw_D,True
bil_direct_consumer_mw_D,True
bil_generic_sales_mw_D,True
bil_generic_buy_mw_D,True
capdisp_hydro_mw,True
capdisp_pump_mw,True
capdisp_nuclear_mw,True
capdisp_coal_antracita_mw,True
capdisp_ccgt_mw,True
t2m_meteo,True
d2m_meteo,True
wind10_meteo,True
wind100_meteo,True
ssrd_meteo,True
tcc_meteo,True
msl_meteo,True
