variable,es_entrada
fecha_pred,False
fecha_objetivo,False
ts,False
split,False
target_price,False
es_esios_D,False
es_esios_Dm1,False
es_esios_Dm6,False
hora,False
d1_dow,False
d1_month,False
d1_is_weekend,False
d1_is_festivo,False
d1_es_puente,False
d1_vispera_festivo,False
d1_regimen_tope_gas,False
meteo_es_forecast,False
imputado_apagon,False
ventana_pisa_apagon,False
pbf_publicado_D,False
pbf_completo_D,False
pt_entsoe_D,True
capinst_coal_mw,True
capdisp_coal_antracita_mw,True
fr_entsoe_D,True
gas_mibgas,True
it_nord_entsoe_D,True
de_lu_entsoe_D,True
pdbc_coal_mw_D,True
capinst_total_autoconsume_mw,True
capinst_wind_mw,True
capinst_waste_nonrenewable_mw,True
pl_entsoe_D,True
pdbc_pumping_cons_mw_D,True
ree_gotherthermal_mw_Dm6,True
pdbc_ccgt_mw_D,True
ree_gotherthermal_mw_Dm1,True
bil_direct_consumer_mw_D,True
ree_gcoal_mw_Dm1,True
pdbc_other_renew_mw_D,True
ree_gcoal_mw_Dm6,True
oil_mw_Dm6,True
hydro_run_river_mw_Dm1,True
oil_mw_Dm1,True
ree_gccgas_mw_Dm1,True
bil_generic_sales_mw_D,True
