matriz,hash,arquitectura,semilla,parametros,dias_train,canales,MAE_val,MAE_test,captura_val_%,vs_naive_val_%,naive_val
minima,38e30029,SimpleRNN,42,27521,1812,10,18.02,16.609,79.22,-9.7,19.946
minima,38e30029,SimpleRNN,43,27521,1812,10,18.474,17.312,79.64,-7.4,19.946
minima,38e30029,SimpleRNN,44,27521,1812,10,17.629,16.657,79.03,-11.6,19.946
minima,38e30029,GRU,42,167233,1812,10,16.789,16.514,83.12,-15.8,19.946
minima,38e30029,GRU,43,167233,1812,10,16.623,15.435,84.33,-16.7,19.946
minima,38e30029,GRU,44,167233,1812,10,16.283,15.176,84.68,-18.4,19.946
minima,38e30029,Conv1D+LSTM,42,266465,1812,10,18.581,16.962,78.9,-6.8,19.946
minima,38e30029,Conv1D+LSTM,43,266465,1812,10,18.77,17.047,79.77,-5.9,19.946
minima,38e30029,Conv1D+LSTM,44,266465,1812,10,18.73,17.277,79.46,-6.1,19.946
nucleo,4a8f328e,SimpleRNN,42,34689,1812,51,14.946,13.068,86.43,-25.1,19.946
nucleo,4a8f328e,SimpleRNN,43,34689,1812,51,14.675,14.831,87.98,-26.4,19.946
nucleo,4a8f328e,SimpleRNN,44,34689,1812,51,14.674,13.55,87.47,-26.4,19.946
nucleo,4a8f328e,GRU,42,196129,1812,51,13.751,12.762,88.59,-31.1,19.946
nucleo,4a8f328e,GRU,43,196129,1812,51,13.629,12.931,88.01,-31.7,19.946
nucleo,4a8f328e,GRU,44,196129,1812,51,13.381,12.878,88.82,-32.9,19.946
nucleo,4a8f328e,Conv1D+LSTM,42,286305,1812,51,14.435,13.88,87.61,-27.6,19.946
nucleo,4a8f328e,Conv1D+LSTM,43,286305,1812,51,14.326,12.779,88.19,-28.2,19.946
nucleo,4a8f328e,Conv1D+LSTM,44,286305,1812,51,13.901,14.26,88.34,-30.3,19.946
moderna,9640d867,SimpleRNN,42,34689,723,51,16.312,15.004,86.69,-18.2,19.946
moderna,9640d867,SimpleRNN,43,34689,723,51,15.139,15.074,86.96,-24.1,19.946
moderna,9640d867,SimpleRNN,44,34689,723,51,14.993,15.293,87.91,-24.8,19.946
moderna,9640d867,GRU,42,196129,723,51,15.303,14.056,87.95,-23.3,19.946
moderna,9640d867,GRU,43,196129,723,51,15.678,15.171,86.24,-21.4,19.946
moderna,9640d867,GRU,44,196129,723,51,14.863,15.445,88.56,-25.5,19.946
moderna,9640d867,Conv1D+LSTM,42,286305,723,51,15.244,16.637,88.06,-23.6,19.946
moderna,9640d867,Conv1D+LSTM,43,286305,723,51,14.646,15.655,87.7,-26.6,19.946
moderna,9640d867,Conv1D+LSTM,44,286305,723,51,15.102,14.92,88.08,-24.3,19.946
completa,bfbc3519,SimpleRNN,42,36993,1812,59,18.501,17.138,83.86,-7.2,19.946
completa,bfbc3519,SimpleRNN,43,36993,1812,59,17.419,20.36,84.51,-12.7,19.946
completa,bfbc3519,SimpleRNN,44,36993,1812,59,15.06,14.784,86.27,-24.5,19.946
completa,bfbc3519,GRU,42,203361,1812,59,20.959,18.932,85.04,5.1,19.946
completa,bfbc3519,GRU,43,203361,1812,59,16.877,15.193,86.19,-15.4,19.946
completa,bfbc3519,GRU,44,203361,1812,59,18.11,16.195,83.93,-9.2,19.946
completa,bfbc3519,Conv1D+LSTM,42,292065,1812,59,14.846,15.845,87.2,-25.6,19.946
completa,bfbc3519,Conv1D+LSTM,43,292065,1812,59,16.306,15.158,87.66,-18.3,19.946
completa,bfbc3519,Conv1D+LSTM,44,292065,1812,59,18.315,16.855,84.32,-8.2,19.946
