variable,nulos_antes,cero_convencion,cero_no_existia,ffill,interpolado,analogo_7d,sin_reconstruir,cero_hora_inexistente
ree_gbattery_mw_Dm6,43526,43526.0,0.0,0.0,0.0,0.0,0,0.0
ree_cbattery_mw_Dm6,43526,43526.0,0.0,0.0,0.0,0.0,0,0.0
ree_cbattery_mw_Dm1,43406,43406.0,0.0,0.0,0.0,0.0,0,0.0
ree_gbattery_mw_Dm1,43406,43406.0,0.0,0.0,0.0,0.0,0,0.0
capinst_battery_hybrid_mw,34892,0.0,34892.0,0.0,0.0,0.0,0,0.0
capinst_wind_hybrid_mw,34125,0.0,27549.0,6576.0,0.0,0.0,0,0.0
pbfli_net_flow_ma_mw_D,31182,31182.0,0.0,0.0,0.0,0.0,0,0.0
capinst_solar_pv_hybrid_mw,29756,0.0,29756.0,0.0,0.0,0.0,0,0.0
bil_direct_consumer_mw_D,9267,9267.0,0.0,0.0,0.0,0.0,0,0.0
pbfli_net_flow_ad_mw_D,7070,7070.0,0.0,0.0,0.0,0.0,0,0.0
bil_generic_buy_mw_D,41,41.0,0.0,0.0,0.0,0.0,0,0.0
pbfli_net_flow_pt_mw_D,33,0.0,0.0,0.0,21.0,12.0,0,0.0
bil_generic_sales_mw_D,32,32.0,0.0,0.0,0.0,0.0,0,0.0
pbfli_net_flow_fr_mw_D,26,0.0,0.0,0.0,25.0,1.0,0,0.0
co2_eua_dec,24,0.0,0.0,24.0,0.0,0.0,0,0.0
pdbc_total_gen_mw_D,9,0.0,0.0,0.0,9.0,0.0,0,0.0
bil_retail_last_resort_mw_D,8,8.0,0.0,0.0,0.0,0.0,0,0.0
pt_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
hydro_dispatch_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
oil_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
waste_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pumping_cons_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
wind_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
be_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
nl_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
fr_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
de_lu_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
cz_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
spread_es_pt_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
spread_es_fr_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
spread_es_de_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
hydro_run_river_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
biomass_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
it_nord_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
ch_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pumping_cons_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_hydro_ugh_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_wind_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_solar_pv_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_cogen_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_biomass_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_hydro_no_ugh_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_nuclear_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pbfli_demand_aux_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pbfli_total_demand_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pbfli_demand_direct_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
bil_retail_free_buy_mw_D,8,8.0,0.0,0.0,0.0,0.0,0,0.0
bil_retail_free_sales_mw_D,8,8.0,0.0,0.0,0.0,0.0,0,0.0
pdbc_other_renew_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pbfli_demand_reference_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pbfli_demand_free_market_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_solar_thermal_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
other_renewable_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_biogas_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pdbc_waste_mw_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
other_renewable_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
wind_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
oil_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
solar_fv_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
waste_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
hydro_dispatch_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
biomass_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
hydro_run_river_mw_Dm6,8,0.0,0.0,0.0,8.0,0.0,0,0.0
solar_fv_mw_Dm1,8,0.0,0.0,0.0,8.0,0.0,0,0.0
pl_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
at_entsoe_D,8,0.0,0.0,0.0,8.0,0.0,0,0.0
es_esios_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_fuel_gas_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind100_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind_gust10_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
msl_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
d2m_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
t2m_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
wind10_mean_met_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gcoal_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gsolter_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gccgas_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gnuclear_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
entsoe_load_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gotherthermal_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gcoal_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_gotherthermal_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
gen_peninsular_mw_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_pt_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_fr_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_ma_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
gen_peninsular_mw_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
ree_netflow_pt_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
entsoe_load_Dm1,7,0.0,0.0,0.0,7.0,0.0,0,0.0
es_esios_Dm6,7,0.0,0.0,0.0,7.0,0.0,0,0.0
