baseline,tramo,dias,ingreso_dia,techo_dia,capturado_%,dias_en_perdida_%
persistencia_d1,train,1821,92.17857468423941,134.5291194398682,68.51942171928165,15.101592531576058
persistencia_d1,val,364,232.07915521978023,268.18528296703295,86.5368720655372,1.6483516483516485
persistencia_d1,test,237,306.24959071729955,334.963358649789,91.42778838609918,0.0
persistencia_semanal,train,1815,97.64760688705233,134.83650165289254,72.41926754998806,12.947658402203857
persistencia_semanal,val,364,231.36722664835162,268.18528296703295,86.27141060413548,0.0
persistencia_semanal,test,237,306.2862257383966,334.963358649789,91.43872540955294,0.8438818565400843
perfil_4_semanas,train,1794,106.75089186176142,135.922773690078,78.537899840955,10.256410256410255
perfil_4_semanas,val,364,239.2411208791209,268.18528296703295,89.20740102973134,0.8241758241758242
perfil_4_semanas,test,237,313.634552742616,334.963358649789,93.63249580695998,0.8438818565400843
media_movil_7d,train,1818,105.95765291529152,134.6906485148515,78.66741610024117,11.166116611661165
media_movil_7d,val,364,244.49064148351644,268.18528296703295,91.16482410169047,0.5494505494505495
media_movil_7d,test,237,317.61028059071725,334.963358649789,94.81941006054494,0.0
plano_d1,train,1821,-113.53190691927514,134.5291194398682,-84.39206871492355,98.35255354200989
plano_d1,val,364,-109.00464560439562,268.18528296703295,-40.64527493769864,93.68131868131869
plano_d1,test,237,-85.56594725738398,334.963358649789,-25.544867833393358,90.29535864978902
