mes,hydro_mw,hydro_mw__estado,pump_mw,pump_mw__estado,nuclear_mw,nuclear_mw__estado,coal_mw,coal_mw__estado,diesel_mw,diesel_mw__estado,gas_turbine_mw,gas_turbine_mw__estado,fuel_mw,fuel_mw__estado,ccgt_mw,ccgt_mw__estado,hydro_wind_mw,hydro_wind_mw__estado,wind_mw,wind_mw__estado,solar_pv_mw,solar_pv_mw__estado,solar_thermal_mw,solar_thermal_mw__estado,other_renewable_mw,other_renewable_mw__estado,cogeneration_mw,cogeneration_mw__estado,waste_nonrenewable_mw,waste_nonrenewable_mw__estado,waste_renewable_mw,waste_renewable_mw__estado,autoconsume_solar_pv_mw,autoconsume_solar_pv_mw__estado,solar_pv_hybrid_mw,solar_pv_hybrid_mw__estado,wind_hybrid_mw,wind_hybrid_mw__estado,battery_hybrid_mw,battery_hybrid_mw__estado,autoconsume_battery_mw,autoconsume_battery_mw__estado,total_mw,total_mw__estado,total_nonrenewable_mw,total_nonrenewable_mw__estado,total_renewable_mw,total_renewable_mw__estado,total_autoconsume_mw,total_autoconsume_mw__estado,total_hybrid_mw,total_hybrid_mw__estado
2020-01-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25282.979,OK,8658.802,OK,2302.223,OK,1091.07,OK,5638.012,OK,403.509,OK,118.838,OK,25.58,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,101494.34000000003,OK,46943.651,OK,54550.68900000001,OK,1292.572,OK,11.582,OK
2020-02-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25290.809,OK,8700.863,OK,2302.223,OK,1090.57,OK,5638.012,OK,403.509,OK,118.838,OK,26.596,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,101543.731,OK,46943.651,OK,54600.08,OK,1310.788,OK,11.582,OK
2020-03-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25663.559,OK,9585.4,OK,2302.223,OK,1090.57,OK,5633.356,OK,403.509,OK,118.838,OK,406.508,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,102796.36200000002,OK,46938.995,OK,55857.36700000001,OK,1684.735,OK,11.582,OK
2020-04-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25681.759,OK,9674.009,OK,2302.223,OK,1090.57,OK,5632.408,OK,403.509,OK,118.838,OK,408.639,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,102902.22300000003,OK,46938.04699999999,OK,55964.17600000001,OK,1686.237,OK,11.582,OK
2020-05-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25875.214,OK,9893.918,OK,2302.223,OK,1090.57,OK,5632.408,OK,403.517,OK,118.838,OK,412.935,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103315.595,OK,46938.05499999999,OK,56377.54,OK,1690.541,OK,11.582,OK
2020-06-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,25997.759,OK,10056.599,OK,2302.223,OK,1090.57,OK,5632.408,OK,403.517,OK,118.838,OK,417.626,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103600.82100000004,OK,46938.05499999999,OK,56662.766,OK,1731.161,OK,11.582,OK
2020-07-01,17096.777,OK,3331.4,OK,7117.29,OK,9215.045,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,26088.58,OK,10346.836,OK,2302.223,OK,1090.57,OK,5631.418,OK,403.517,OK,118.838,OK,423.0,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103980.889,OK,46937.065,OK,57043.824,OK,1745.088,OK,11.582,OK
2020-08-01,17097.247,OK,3331.4,OK,7117.29,OK,8159.275,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,26284.685,OK,10385.547,OK,2302.223,OK,1090.57,OK,5631.418,OK,403.517,OK,118.838,OK,428.601,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103160.405,OK,45881.29499999999,OK,57279.10999999999,OK,1740.693,OK,11.582,OK
2020-09-01,17097.247,OK,3331.4,OK,7117.29,OK,8159.275,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,26562.22,OK,10900.778,OK,2302.223,OK,1090.57,OK,5631.418,OK,403.517,OK,118.838,OK,434.238,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103953.17099999997,OK,45881.29499999999,OK,58071.876,OK,1747.378,OK,11.582,OK
2020-10-01,17097.247,OK,3331.4,OK,7117.29,OK,6596.935,OK,,SIN_PENINSULA,,SIN_PENINSULA,7.95,OK,24561.845,OK,,SIN_PENINSULA,26777.86,OK,11311.358,OK,2302.223,OK,1089.898,OK,5626.755,OK,393.837,OK,118.838,OK,441.323,OK,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,,SIN_DATOS,103002.036,OK,44304.612,OK,58697.424,OK,1754.463,OK,11.582,OK
