columna,meses_con_dato,meses_total,pct_completo
gas_turbine_mw,0,79,0.0
diesel_mw,0,79,0.0
hydro_wind_mw,0,79,0.0
battery_hybrid_mw,31,79,39.2
wind_hybrid_mw,32,79,40.5
solar_pv_hybrid_mw,38,79,48.1
autoconsume_battery_mw,39,79,49.4
hydro_mw,79,79,100.0
ccgt_mw,79,79,100.0
wind_mw,79,79,100.0
solar_pv_mw,79,79,100.0
solar_thermal_mw,79,79,100.0
coal_mw,79,79,100.0
nuclear_mw,79,79,100.0
fuel_mw,79,79,100.0
pump_mw,79,79,100.0
waste_renewable_mw,79,79,100.0
waste_nonrenewable_mw,79,79,100.0
cogeneration_mw,79,79,100.0
other_renewable_mw,79,79,100.0
autoconsume_solar_pv_mw,79,79,100.0
total_mw,79,79,100.0
total_nonrenewable_mw,79,79,100.0
total_renewable_mw,79,79,100.0
total_autoconsume_mw,79,79,100.0
total_hybrid_mw,79,79,100.0
