mes,hydro_mw,pump_mw,nuclear_mw,coal_mw,diesel_mw,gas_turbine_mw,fuel_mw,ccgt_mw,hydro_wind_mw,wind_mw,solar_pv_mw,solar_thermal_mw,other_renewable_mw,cogeneration_mw,waste_nonrenewable_mw,waste_renewable_mw,autoconsume_solar_pv_mw,solar_pv_hybrid_mw,wind_hybrid_mw,battery_hybrid_mw,autoconsume_battery_mw,total_mw,total_nonrenewable_mw,total_renewable_mw,total_autoconsume_mw,total_hybrid_mw
2020-01-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25282.979,8658.802,2302.223,1091.07,5638.012,403.509,118.838,25.58,,,,,101494.34000000003,46943.651,54550.68900000001,1292.572,11.582
2020-02-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25290.809,8700.863,2302.223,1090.57,5638.012,403.509,118.838,26.596,,,,,101543.731,46943.651,54600.08,1310.788,11.582
2020-03-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25663.559,9585.4,2302.223,1090.57,5633.356,403.509,118.838,406.508,,,,,102796.36200000002,46938.995,55857.36700000001,1684.735,11.582
2020-04-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25681.759,9674.009,2302.223,1090.57,5632.408,403.509,118.838,408.639,,,,,102902.22300000003,46938.04699999999,55964.17600000001,1686.237,11.582
2020-05-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25875.214,9893.918,2302.223,1090.57,5632.408,403.517,118.838,412.935,,,,,103315.595,46938.05499999999,56377.54,1690.541,11.582
2020-06-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,25997.759,10056.599,2302.223,1090.57,5632.408,403.517,118.838,417.626,,,,,103600.82100000004,46938.05499999999,56662.766,1731.161,11.582
2020-07-01,17096.777,3331.4,7117.29,9215.045,,,7.95,24561.845,,26088.58,10346.836,2302.223,1090.57,5631.418,403.517,118.838,423.0,,,,,103980.889,46937.065,57043.824,1745.088,11.582
2020-08-01,17097.247,3331.4,7117.29,8159.275,,,7.95,24561.845,,26284.685,10385.547,2302.223,1090.57,5631.418,403.517,118.838,428.601,,,,,103160.405,45881.29499999999,57279.10999999999,1740.693,11.582
2020-09-01,17097.247,3331.4,7117.29,8159.275,,,7.95,24561.845,,26562.22,10900.778,2302.223,1090.57,5631.418,403.517,118.838,434.238,,,,,103953.17099999997,45881.29499999999,58071.876,1747.378,11.582
2020-10-01,17097.247,3331.4,7117.29,6596.935,,,7.95,24561.845,,26777.86,11311.358,2302.223,1089.898,5626.755,393.837,118.838,441.323,,,,,103002.036,44304.612,58697.424,1754.463,11.582
2020-11-01,17097.247,3331.4,7117.29,5977.875,,,7.95,24561.845,,27109.255,11619.105,2302.223,1089.898,5626.555,393.837,118.838,449.429,,,,,103021.918,43685.352,59336.566,1763.494,11.582
2020-12-01,17096.672,3331.4,7117.29,5492.025,,,7.95,24561.845,,27205.255,11891.329,2302.223,1091.398,5622.095,393.837,118.838,456.955,,,,,102900.75700000003,43195.042,59705.715,1823.712,11.582
2021-01-01,17096.672,3331.4,7117.29,5144.325,,,7.95,24561.845,,27206.755,12036.581,2302.223,1091.398,5618.069,393.837,118.838,481.683,,,,,102695.783,42843.316,59852.46700000001,1833.726,11.582
2021-02-01,17092.172,3331.4,7117.29,4642.515,,,7.95,24561.845,,27296.005,12366.926,2302.223,1091.898,5618.069,406.627,131.628,491.536,,,,,102635.14800000002,42354.296,60280.852,1925.842,11.582
2021-03-01,17092.172,3331.4,7117.29,4642.515,,,7.95,24561.845,,27317.005,12685.194,2302.223,1092.898,5618.069,406.627,131.628,505.361,,,,,102975.416,42354.296,60621.11999999999,2031.876,11.582
2021-04-01,17092.172,3331.4,7117.29,4642.515,,,7.95,24561.845,,27356.905,12858.096,2302.223,1092.898,5606.964,406.627,131.628,539.462,,,,,103177.11300000003,42343.191,60833.922,2198.481,11.582
2021-05-01,17092.172,3331.4,7117.29,4642.515,,,7.95,24561.845,,27483.205,13160.765,2302.223,1094.922,5606.98,406.627,131.628,552.931,,,,,103608.12200000002,42343.207,61264.91500000001,2798.358,11.582
2021-06-01,17092.172,3331.4,7117.29,4642.515,,,7.95,24561.845,,27604.5,13520.693,2302.233,1094.922,5595.929,406.627,131.628,600.939,,,,,104078.304,42332.156,61746.148,2848.644,11.582
