corte,bloque,grupo,metrica,valor
val,copia,realidad,forma_vs_D,0.8291
val,copia,realidad,movimiento_%,100.0000
val,copia,realidad,corr_cambio,1.0000
val,copia,realidad,pendiente_cambio,1.0000
val,copia,realidad,MAE,0.0000
val,copia,ensemble_seleccion,forma_vs_D,0.9265
val,copia,ensemble_seleccion,movimiento_%,78.6615
val,copia,ensemble_seleccion,corr_cambio,0.8375
val,copia,ensemble_seleccion,pendiente_cambio,0.6163
val,copia,ensemble_seleccion,MAE,11.7319
val,copia,persistencia,forma_vs_D,1.0000
val,copia,persistencia,movimiento_%,0.0000
val,copia,persistencia,corr_cambio,
val,copia,persistencia,pendiente_cambio,0.0000
val,copia,persistencia,MAE,19.9483
val,copia,lgbm_nucleo__s1,forma_vs_D,0.8882
val,copia,lgbm_nucleo__s1,movimiento_%,90.1700
val,copia,lgbm_nucleo__s1,corr_cambio,0.8057
val,copia,lgbm_nucleo__s1,pendiente_cambio,0.6634
val,copia,lgbm_nucleo__s1,MAE,13.0082
val,copia,lgbm_nucleo__s1,peso,0.3667
val,copia,denso__s2,forma_vs_D,0.9332
val,copia,denso__s2,movimiento_%,75.0961
val,copia,denso__s2,corr_cambio,0.7913
val,copia,denso__s2,pendiente_cambio,0.5915
val,copia,denso__s2,MAE,12.8434
val,copia,denso__s2,peso,0.3333
val,copia,lstm__s1,forma_vs_D,0.9268
val,copia,lstm__s1,movimiento_%,82.6637
val,copia,lstm__s1,corr_cambio,0.7765
val,copia,lstm__s1,pendiente_cambio,0.6135
val,copia,lstm__s1,MAE,13.2963
val,copia,lstm__s1,peso,0.1000
val,copia,seq2seq_absoluto__s2,forma_vs_D,0.9033
val,copia,seq2seq_absoluto__s2,movimiento_%,93.9952
val,copia,seq2seq_absoluto__s2,corr_cambio,0.7254
val,copia,seq2seq_absoluto__s2,pendiente_cambio,0.6081
val,copia,seq2seq_absoluto__s2,MAE,15.4014
val,copia,seq2seq_absoluto__s2,peso,0.1000
val,copia,gru__s2,forma_vs_D,0.9172
val,copia,gru__s2,movimiento_%,78.4010
val,copia,gru__s2,corr_cambio,0.7435
val,copia,gru__s2,pendiente_cambio,0.5522
val,copia,gru__s2,MAE,14.0525
val,copia,gru__s2,peso,0.0667
val,copia,seq2seq__s1,forma_vs_D,0.9341
val,copia,seq2seq__s1,movimiento_%,72.1865
val,copia,seq2seq__s1,corr_cambio,0.7461
val,copia,seq2seq__s1,pendiente_cambio,0.5063
val,copia,seq2seq__s1,MAE,13.9655
val,copia,seq2seq__s1,peso,0.0333
val,cuartil_cambio,Q1,n_dias,92.0000
val,cuartil_cambio,Q1,cambio_min,2.5550
val,cuartil_cambio,Q1,cambio_max,10.4742
val,cuartil_cambio,Q1,cambio_medio,7.7033
val,cuartil_cambio,Q1,MAE_ensemble,7.8547
val,cuartil_cambio,Q1,MAE_persistencia,7.7033
val,cuartil_cambio,Q1,mejora_vs_persistencia_%,1.9655
val,cuartil_cambio,Q1,dias_ensemble_peor_%,42.3913
val,cuartil_cambio,Q1,captura_ensemble_%,93.6456
val,cuartil_cambio,Q1,captura_persistencia_%,89.0750
val,cuartil_cambio,Q1,pico1h_ensemble_%,85.8696
val,cuartil_cambio,Q1,pico1h_persistencia_%,78.2609
val,cuartil_cambio,Q2,n_dias,91.0000
val,cuartil_cambio,Q2,cambio_min,10.4742
val,cuartil_cambio,Q2,cambio_max,17.1721
val,cuartil_cambio,Q2,cambio_medio,13.4732
val,cuartil_cambio,Q2,MAE_ensemble,10.1633
val,cuartil_cambio,Q2,MAE_persistencia,13.4732
val,cuartil_cambio,Q2,mejora_vs_persistencia_%,-24.5662
val,cuartil_cambio,Q2,dias_ensemble_peor_%,12.0879
val,cuartil_cambio,Q2,captura_ensemble_%,91.2209
val,cuartil_cambio,Q2,captura_persistencia_%,84.6879
val,cuartil_cambio,Q2,pico1h_ensemble_%,78.0220
val,cuartil_cambio,Q2,pico1h_persistencia_%,67.0330
val,cuartil_cambio,Q3,n_dias,91.0000
val,cuartil_cambio,Q3,cambio_min,17.1721
val,cuartil_cambio,Q3,cambio_max,26.9375
val,cuartil_cambio,Q3,cambio_medio,21.4384
val,cuartil_cambio,Q3,MAE_ensemble,12.7545
