ancla,paso,entra,MAE_val
D,1,denso__s2,12.8434
D,2,lgbm_nucleo__s1,11.8889
D,3,lstm__s1,11.9007
D,4,lgbm_nucleo__s1,11.8559
D,5,seq2seq_absoluto__s2,11.8182
D,6,denso__s2,11.7854
D,7,lgbm_nucleo__s1,11.7639
D,8,gru__s2,11.7488
D,9,denso__s2,11.7399
D,10,lgbm_nucleo__s1,11.736
D,11,denso__s2,11.7342
D,12,lgbm_nucleo__s1,11.7381
D,13,lstm__s1,11.738
D,14,denso__s2,11.7431
D,15,lgbm_nucleo__s1,11.7404
D,16,seq2seq_absoluto__s2,11.7375
D,17,seq2seq__s1,11.7386
D,18,denso__s2,11.7386
D,19,lgbm_nucleo__s1,11.7334
D,20,denso__s2,11.7343
D,21,lgbm_nucleo__s1,11.7331
D,22,denso__s2,11.7343
D,23,lgbm_nucleo__s1,11.7348
D,24,gru__s2,11.7348
D,25,lstm__s1,11.7349
D,26,lgbm_nucleo__s1,11.7356
D,27,denso__s2,11.7348
D,28,seq2seq_absoluto__s2,11.733
D,29,lgbm_nucleo__s1,11.7331
D,30,denso__s2,11.7319
semanal,1,lgbm_nucleo__s1,13.0082
semanal,2,denso__s1,12.0767
semanal,3,seq2seq_absoluto__s2,12.025
semanal,4,lgbm_nucleo__s1,11.9338
semanal,5,lstm__s1,11.8576
semanal,6,denso__s1,11.8476
semanal,7,lgbm_nucleo__s1,11.8414
semanal,8,denso__s1,11.8526
semanal,9,lgbm_nucleo__s1,11.8586
semanal,10,seq2seq_absoluto__s2,11.8406
semanal,11,denso__s1,11.8403
semanal,12,lgbm_nucleo__s1,11.8355
semanal,13,lstm__s1,11.8368
semanal,14,lgbm_nucleo__s1,11.8414
semanal,15,seq2seq_absoluto__s2,11.8418
semanal,16,denso__s1,11.8351
semanal,17,lgbm_nucleo__s1,11.8345
semanal,18,denso__s1,11.8334
semanal,19,lgbm_nucleo__s1,11.8353
semanal,20,denso__s1,11.8365
semanal,21,seq2seq_absoluto__s2,11.8371
semanal,22,lgbm_nucleo__s1,11.8355
semanal,23,lstm__s1,11.8331
semanal,24,denso__s1,11.8344
semanal,25,lgbm_nucleo__s1,11.8336
semanal,26,denso__s1,11.8358
semanal,27,seq2seq_absoluto__s2,11.8359
semanal,28,lgbm_nucleo__s1,11.8333
semanal,29,lstm__s1,11.8336
semanal,30,lgbm_nucleo__s1,11.8336
