grupo,modelo,peso,MAE_base,aumento_MAE_media,aumento_MAE_min,aumento_MAE_max
precio_es,lgbm_nucleo__s1,0.3667,14.1643,10.4608,10.1972,10.8899
precio_es,denso__s2,0.3333,13.4661,3.7968,3.5942,4.017
precio_es,lstm__s1,0.1,15.7787,1.6072,1.3951,1.7156
precio_es,seq2seq_absoluto__s2,0.1,15.276,3.2554,2.9741,3.6329
precio_es,gru__s2,0.0667,12.8855,0.6498,0.5191,0.8433
precio_es,seq2seq__s1,0.0333,13.2768,0.4439,0.3424,0.5362
precios_europeos,lgbm_nucleo__s1,0.3667,14.1643,6.4228,6.2209,6.7687
precios_europeos,denso__s2,0.3333,13.4661,2.4948,2.2954,2.7308
precios_europeos,lstm__s1,0.1,15.7787,3.8892,3.6477,4.1716
precios_europeos,seq2seq_absoluto__s2,0.1,15.276,3.0784,2.7663,3.344
precios_europeos,gru__s2,0.0667,12.8855,1.6015,1.4457,1.7441
precios_europeos,seq2seq__s1,0.0333,13.2768,1.4614,1.3313,1.5811
prev_ree,lgbm_nucleo__s1,0.3667,14.1643,12.4995,11.8434,13.4087
prev_ree,denso__s2,0.3333,13.4661,10.3108,9.271,10.9537
prev_ree,lstm__s1,0.1,15.7787,9.4345,8.5515,9.9497
prev_ree,seq2seq_absoluto__s2,0.1,15.276,5.0025,4.7293,5.5093
prev_ree,gru__s2,0.0667,12.8855,2.5399,2.4198,2.7624
prev_ree,seq2seq__s1,0.0333,13.2768,2.5895,2.3961,2.8337
meteo_prevista,lgbm_nucleo__s1,0.3667,14.1643,0.3369,0.2845,0.4156
meteo_prevista,denso__s2,0.3333,13.4661,1.2425,1.1965,1.2977
meteo_prevista,lstm__s1,0.1,15.7787,0.7911,0.7027,0.9486
meteo_prevista,seq2seq_absoluto__s2,0.1,15.276,2.6037,2.2212,3.115
meteo_prevista,gru__s2,0.0667,12.8855,1.3074,1.0778,1.4898
meteo_prevista,seq2seq__s1,0.0333,13.2768,1.2034,1.0302,1.3176
gas,lgbm_nucleo__s1,0.3667,14.1643,-0.0491,-0.2305,0.0437
gas,denso__s2,0.3333,13.4661,0.0055,0.0024,0.009
gas,lstm__s1,0.1,15.7787,0.0217,0.0171,0.0253
gas,seq2seq_absoluto__s2,0.1,15.276,0.2275,0.223,0.2364
gas,gru__s2,0.0667,12.8855,0.0195,0.009,0.026
gas,seq2seq__s1,0.0333,13.2768,0.0031,-0.0035,0.0083
calendario,lgbm_nucleo__s1,0.3667,14.1643,1.1502,1.1146,1.2142
calendario,denso__s2,0.3333,13.4661,0.0702,0.0212,0.107
calendario,lstm__s1,0.1,15.7787,0.221,0.1839,0.2813
calendario,seq2seq_absoluto__s2,0.1,15.276,1.3446,1.0787,1.6016
calendario,gru__s2,0.0667,12.8855,2.5924,2.442,2.8591
calendario,seq2seq__s1,0.0333,13.2768,2.3073,2.1165,2.5493
programas_D,lgbm_nucleo__s1,0.3667,14.1643,3.1014,2.7805,3.2933
programas_D,denso__s2,0.3333,13.4661,0.9658,0.8693,1.0396
programas_D,lstm__s1,0.1,15.7787,0.5288,0.3889,0.6118
programas_D,seq2seq_absoluto__s2,0.1,15.276,1.1529,0.7301,1.6213
programas_D,gru__s2,0.0667,12.8855,2.1645,2.0038,2.291
programas_D,seq2seq__s1,0.0333,13.2768,1.0648,0.9908,1.1307
real_Dm1_Dm6,lgbm_nucleo__s1,0.3667,14.1643,0.8723,0.7125,0.9675
real_Dm1_Dm6,denso__s2,0.3333,13.4661,1.2127,1.1683,1.2822
real_Dm1_Dm6,lstm__s1,0.1,15.7787,0.3594,0.3431,0.3712
real_Dm1_Dm6,seq2seq_absoluto__s2,0.1,15.276,1.9973,1.9056,2.0599
real_Dm1_Dm6,gru__s2,0.0667,12.8855,0.5758,0.4071,0.7309
real_Dm1_Dm6,seq2seq__s1,0.0333,13.2768,0.6514,0.4165,0.8172
capacidades,lgbm_nucleo__s1,0.3667,14.1643,-0.1414,-0.1919,-0.0661
capacidades,denso__s2,0.3333,13.4661,0.0265,0.0232,0.0325
capacidades,lstm__s1,0.1,15.7787,0.3236,0.2951,0.364
capacidades,seq2seq_absoluto__s2,0.1,15.276,0.2212,0.1119,0.3045
capacidades,gru__s2,0.0667,12.8855,0.1085,0.0292,0.175
capacidades,seq2seq__s1,0.0333,13.2768,-0.0105,-0.0673,0.0373
precio_es__ancla_permutada,lgbm_nucleo__s1,0.3667,14.1643,10.4608,10.1972,10.8899
precio_es__ancla_permutada,denso__s2,0.3333,13.4661,28.6658,27.6044,29.3031
precio_es__ancla_permutada,lstm__s1,0.1,15.7787,29.7991,28.5918,30.5014
precio_es__ancla_permutada,seq2seq_absoluto__s2,0.1,15.276,3.2554,2.9741,3.6329
precio_es__ancla_permutada,gru__s2,0.0667,12.8855,33.7333,32.3588,34.4816
precio_es__ancla_permutada,seq2seq__s1,0.0333,13.2768,33.7,32.1463,34.5377
