variable,grupo,shap_abs_medio_test,shap_medio_test,proporcion_test,rango_test,shap_abs_medio_val,shap_medio_val,proporcion_val,rango_val,shap_abs_medio_train,proporcion_train,rango_train,ganancia_media_3s,proporcion_ganancia,rango_ganancia,ganancia_s1,splits_s1,rango_splits_s1,dif_rango_ganancia_menos_shap_test
pt_entsoe_D,Precios europeos D y diferenciales,19.104089,-13.163037,0.159161,1,16.725974,-11.761047,0.161442,1,22.242895,0.20648,1,1915170391.388041,0.505888,1,1720961338.540832,842,9,0
ree_gwind_prev,"Previsiones REE (demanda, eólica, solar)",14.576767,-2.689616,0.121443,2,11.530289,0.107355,0.111293,2,10.610522,0.098497,3,113497065.808034,0.02998,5,111807453.56311,2315,1,3
es_esios_D,"Precio español (D, D-1, D-6)",12.129361,-6.379826,0.101053,3,10.769608,-3.927911,0.10395,3,11.512393,0.106869,2,838708271.54718,0.221543,2,877308243.299255,1125,5,-1
ree_gsolar_prev,"Previsiones REE (demanda, eólica, solar)",10.183453,-5.988285,0.084841,4,8.05106,-3.819101,0.07771,4,4.777013,0.044345,7,22918934.521688,0.006054,11,22521506.106445,959,7,7
es_esios_Dm6,"Precio español (D, D-1, D-6)",7.302526,-2.239348,0.060839,5,6.962206,-1.14777,0.067201,5,8.680334,0.080579,4,222927017.893514,0.058886,4,244632719.033386,1166,4,-1
ree_demanda_prev,"Previsiones REE (demanda, eólica, solar)",5.872059,1.409287,0.048922,6,5.543608,0.601828,0.053508,6,5.548121,0.051503,5,27739966.33076,0.007327,7,27872556.300446,1242,3,1
gas_mibgas,Gas MIBGAS,4.498606,3.585232,0.037479,7,2.237718,0.104859,0.021599,10,4.29009,0.039825,8,42396816.142415,0.011199,6,43428371.639648,1592,2,-1
pdbc_wind_mw_D,Programas PDBC/PBF de D,4.389438,1.343144,0.03657,8,3.634726,0.41023,0.035083,7,3.621012,0.033614,9,25505023.601969,0.006737,8,26490628.690857,1096,6,0
es_esios_Dm1,"Precio español (D, D-1, D-6)",3.440965,-2.42285,0.028668,9,3.087041,-2.222575,0.029797,8,4.809735,0.044649,6,228314766.757833,0.060309,3,358449343.490112,633,16,-6
d1_dow,Calendario y hora,2.674139,-0.04646,0.022279,10,2.556371,-0.022166,0.024675,9,2.131461,0.019786,10,25100583.078512,0.00663,10,26273801.084534,677,13,0
wind100_meteo,Meteorología prevista,2.095955,-0.655838,0.017462,11,1.462675,-0.01872,0.014118,11,1.415781,0.013143,12,25442574.444478,0.006721,9,28717945.393188,844,8,-2
ree_gcoal_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",1.362436,-1.362436,0.011351,12,0.812913,-0.765372,0.007846,19,0.265837,0.002468,53,3696765.108816,0.000976,34,3724900.774292,579,22,22
pdbc_waste_mw_D,Programas PDBC/PBF de D,1.341965,-1.314931,0.01118,13,0.902393,-0.818823,0.00871,17,0.342303,0.003178,42,3031485.263916,0.000801,44,2907046.912537,619,19,31
wind_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",1.178072,-0.123171,0.009815,14,1.287173,-0.075629,0.012424,12,1.294372,0.012016,13,5833705.093913,0.001541,24,6189888.198669,618,20,10
pbfli_demand_aux_mw_D,Programas PDBC/PBF de D,1.124045,-1.124027,0.009365,15,1.042175,-1.042132,0.010059,13,0.461032,0.00428,25,5965550.410929,0.001576,22,5854677.853271,499,41,7
solar_fv_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.996627,0.755849,0.008303,16,0.949612,0.693851,0.009166,15,0.487701,0.004527,24,3186184.849528,0.000842,40,3392541.84906,365,61,24
capdisp_nuclear_mw,Capacidades (disponible e instalada),0.978463,-0.081936,0.008152,17,0.948866,-0.085106,0.009159,16,0.911955,0.008466,15,3541073.065704,0.000935,37,3800274.373566,401,58,20
