variable,grupo,shap_abs_medio_test,rango_test,rho,abs_rho,frontera,rango_eda_en_modelo,rango_eda_global
pt_entsoe_D,Precios europeos D y diferenciales,19.104089,1,0.883326,0.883326,SIMULTANEA (casa a las 12:00),1,1
ree_gwind_prev,"Previsiones REE (demanda, eólica, solar)",14.576767,2,-0.193821,0.193821,OK (pre-11:00),42,45
es_esios_D,"Precio español (D, D-1, D-6)",12.129361,3,0.883296,0.883296,TARGET disfrazado,2,2
ree_gsolar_prev,"Previsiones REE (demanda, eólica, solar)",10.183453,4,-0.190564,0.190564,OK (pre-11:00),43,46
es_esios_Dm6,"Precio español (D, D-1, D-6)",7.302526,5,0.800191,0.800191,OK (pre-11:00),4,4
ree_demanda_prev,"Previsiones REE (demanda, eólica, solar)",5.872059,6,0.225815,0.225815,OK (pre-11:00),34,37
gas_mibgas,Gas MIBGAS,4.498606,7,0.685226,0.685226,OK (pre-11:00),7,7
pdbc_wind_mw_D,Programas PDBC/PBF de D,4.389438,8,-0.166535,0.166535,POSTERIOR (no usable),49,53
es_esios_Dm1,"Precio español (D, D-1, D-6)",3.440965,9,0.813348,0.813348,OK (pre-11:00),3,3
d1_dow,Calendario y hora,2.674139,10,-0.112137,0.112137,OK (pre-11:00),62,68
wind100_meteo,Meteorología prevista,2.095955,11,-0.233867,0.233867,OK (pre-11:00),33,36
ree_gcoal_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",1.362436,12,0.388459,0.388459,OK (pre-11:00),17,19
pdbc_waste_mw_D,Programas PDBC/PBF de D,1.341965,13,0.252043,0.252043,POSTERIOR (no usable),32,35
wind_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",1.178072,14,0.061841,0.061841,OK (pre-11:00),78,89
pbfli_demand_aux_mw_D,Programas PDBC/PBF de D,1.124045,15,-0.090004,0.090004,POSTERIOR (no usable),68,77
solar_fv_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.996627,16,-0.165698,0.165698,OK (pre-11:00),50,54
capdisp_nuclear_mw,Capacidades (disponible e instalada),0.978463,17,0.031643,0.031643,OK (pre-11:00),94,109
pdbc_hydro_ugh_mw_D,Programas PDBC/PBF de D,0.967016,18,-0.200293,0.200293,POSTERIOR (no usable),38,41
fr_entsoe_D,Precios europeos D y diferenciales,0.923364,19,0.76105,0.76105,SIMULTANEA (casa a las 12:00),5,5
tcc_meteo,Meteorología prevista,0.89181,20,-0.046458,0.046458,OK (pre-11:00),88,101
pdbc_pumping_gen_mw_D,Programas PDBC/PBF de D,0.817364,21,0.170567,0.170567,POSTERIOR (no usable),48,51
it_nord_entsoe_D,Precios europeos D y diferenciales,0.730244,22,0.717035,0.717035,SIMULTANEA (casa a las 12:00),6,6
ree_gcoal_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.718508,23,0.386135,0.386135,OK (pre-11:00),18,20
capdisp_coal_antracita_mw,Capacidades (disponible e instalada),0.704619,24,-0.147657,0.147657,OK (pre-11:00),52,56
bil_generic_buy_mw_D,Programas PDBC/PBF de D,0.565286,25,-0.1983,0.1983,POSTERIOR (no usable),40,43
pbfli_total_demand_mw_D,Programas PDBC/PBF de D,0.554871,26,0.102918,0.102918,POSTERIOR (no usable),65,72
hora_cos,Calendario y hora,0.511223,27,0.146164,0.146164,OK (pre-11:00),53,58
