modelo,descripcion,tipo,n,MAE_val,sd_val,MAE_test,sd_test,captura_test,pico_1h,vs_naive_test_%,representante_val,MAE_val_representante,MAE_test_representante,miembro_seleccion,peso,peso_de_30,rango_val,rango_test
ensemble_seleccion,"Ensemble seleccionado (Caruana, ancla D)",ensemble,6,11.732,,11.724,,92.57,76.42,-29.9,,,,-,1.0,30/30,1,1
ensemble,Ensemble de las 8 familias de red (media simple),ensemble,8,12.519,,12.034,,90.55,77.36,-28.0,,,,-,,,3,3
ensemble_todos,"Ensemble de todas las familias (media simple, 12)",ensemble,12,12.635,,11.883,,92.89,78.3,-28.9,,,,-,,,4,2
ensemble_seleccion_anclasemanal,Ensemble seleccionado con ancla semanal (descartado),ensemble,4,11.833,,12.165,,92.18,78.3,-27.2,,,,-,,,2,4
denso,Red densa (MLP),red,3,12.935,0.147,13.286,0.877,88.49,74.68,-20.5,denso__s2,12.843,13.466,si,0.3333,10/30,5,6
lgbm_nucleo,LightGBM global (filas horarias),arbol,3,13.061,0.073,14.248,0.085,90.52,75.0,-14.8,lgbm_nucleo__s1,13.008,14.164,si,0.3667,11/30,6,11
lstm,LSTM,red,3,13.457,0.141,14.711,0.978,87.32,72.48,-12.0,lstm__s1,13.296,15.778,si,0.1,3/30,7,13
boosting,LightGBM por hora (24 modelos),arbol,3,13.714,0.052,14.55,0.055,88.63,76.57,-13.0,boosting__s0,13.661,14.533,no,0.0,,8,12
gru,GRU,red,3,14.132,0.127,13.188,0.265,89.63,77.04,-21.1,gru__s2,14.052,12.886,si,0.0667,2/30,9,5
seq2seq,Seq2seq (residuo),red,3,14.413,0.427,13.461,0.406,88.78,72.48,-19.5,seq2seq__s1,13.966,13.277,si,0.0333,1/30,10,7
conv1d_lstm,Conv1D-LSTM,red,3,14.68,0.308,13.864,0.445,88.59,73.27,-17.1,conv1d_lstm__s1,14.456,13.965,no,0.0,,11,8
elasticnet,Elastic Net,lineal,1,15.251,,14.075,,90.54,77.83,-15.8,elasticnet__s0,15.251,14.075,no,0.0,,12,9
simplernn,RNN simple,red,3,15.355,0.164,14.128,0.381,87.36,71.54,-15.5,simplernn__s1,15.179,13.887,no,0.0,,13,10
seq2seq_absoluto,Seq2seq (precio absoluto),red,3,16.12,0.626,15.651,0.344,92.68,81.45,-6.4,seq2seq_absoluto__s2,15.401,15.276,si,0.1,3/30,14,14
ridge,Ridge,lineal,1,17.579,,19.176,,92.55,81.6,14.7,ridge__s0,17.579,19.176,no,0.0,,15,16
sarimax,SARIMAX,estadistico,1,18.006,,21.451,,90.26,78.77,28.3,sarimax__s0,18.006,21.451,no,0.0,,16,17
sarima,SARIMA,estadistico,1,22.836,,23.791,,86.31,68.87,42.3,sarima__s0,22.836,23.791,no,0.0,,18,18
naive (persistencia),Persistencia (precio de D),referencia,0,19.948,,16.721,,86.14,67.45,0.0,,,,-,,,17,15
