fecha,hora,consumo_kwh
2027-01-01,1,48.33
2027-01-01,2,48.34
2027-01-01,3,48.36
2027-01-01,4,48.46
2027-01-01,5,48.78
2027-01-01,6,49.66
2027-01-01,7,51.64
2027-01-01,8,55.34
2027-01-01,9,60.89
2027-01-01,10,67.38
2027-01-01,11,72.8
2027-01-01,12,74.96
2027-01-01,13,73.01
2027-01-01,14,68.23
2027-01-01,15,63.51
2027-01-01,16,61.62
2027-01-01,17,63.37
2027-01-01,18,66.72
2027-01-01,19,68.11
2027-01-01,20,65.52
2027-01-01,21,60.09
2027-01-01,22,54.62
2027-01-01,23,50.95
2027-01-01,24,49.18
2027-01-02,1,26.61
2027-01-02,2,26.61
2027-01-02,3,26.63
2027-01-02,4,26.68
2027-01-02,5,26.86
2027-01-02,6,27.34
2027-01-02,7,28.43
2027-01-02,8,30.47
2027-01-02,9,33.52
2027-01-02,10,37.1
2027-01-02,11,40.08
2027-01-02,12,41.27
2027-01-02,13,40.19
2027-01-02,14,37.56
2027-01-02,15,34.96
2027-01-02,16,33.92
2027-01-02,17,34.89
2027-01-02,18,36.73
2027-01-02,19,37.5
2027-01-02,20,36.07
2027-01-02,21,33.08
2027-01-02,22,30.07
2027-01-02,23,28.05
2027-01-02,24,27.08
2027-01-03,1,26.63
2027-01-03,2,26.64
2027-01-03,3,26.65
2027-01-03,4,26.7
2027-01-03,5,26.88
2027-01-03,6,27.36
2027-01-03,7,28.46
2027-01-03,8,30.5
2027-01-03,9,33.55
2027-01-03,10,37.13
2027-01-03,11,40.12
2027-01-03,12,41.31
2027-01-03,13,40.23
2027-01-03,14,37.6
2027-01-03,15,35.0
2027-01-03,16,33.95
2027-01-03,17,34.92
2027-01-03,18,36.77
2027-01-03,19,37.53
2027-01-03,20,36.11
2027-01-03,21,33.11
2027-01-03,22,30.1
2027-01-03,23,28.08
2027-01-03,24,27.1
2027-01-04,1,48.47
2027-01-04,2,48.47
2027-01-04,3,48.5
2027-01-04,4,48.6
2027-01-04,5,48.92
2027-01-04,6,49.8
2027-01-04,7,51.79
2027-01-04,8,55.5
2027-01-04,9,61.06
2027-01-04,10,67.57
2027-01-04,11,73.0
2027-01-04,12,75.17
2027-01-04,13,73.21
2027-01-04,14,68.42
2027-01-04,15,63.68
2027-01-04,16,61.79
2027-01-04,17,63.55
2027-01-04,18,66.9
2027-01-04,19,68.3
2027-01-04,20,65.71
2027-01-04,21,60.26
2027-01-04,22,54.77
2027-01-04,23,51.09
2027-01-04,24,49.32
2027-01-05,1,48.51
2027-01-05,2,48.51
2027-01-05,3,48.54
2027-01-05,4,48.64
2027-01-05,5,48.96
2027-01-05,6,49.84
2027-01-05,7,51.83
2027-01-05,8,55.54
2027-01-05,9,61.11
2027-01-05,10,67.63
2027-01-05,11,73.06
2027-01-05,12,75.23
2027-01-05,13,73.27
2027-01-05,14,68.48
2027-01-05,15,63.74
2027-01-05,16,61.84
2027-01-05,17,63.6
2027-01-05,18,66.96
2027-01-05,19,68.36
2027-01-05,20,65.76
2027-01-05,21,60.31
2027-01-05,22,54.81
2027-01-05,23,51.14
2027-01-05,24,49.36
2027-01-06,1,48.55
2027-01-06,2,48.55
2027-01-06,3,48.58
2027-01-06,4,48.67
2027-01-06,5,49.0
2027-01-06,6,49.88
2027-01-06,7,51.87
2027-01-06,8,55.58
2027-01-06,9,61.16
2027-01-06,10,67.68
2027-01-06,11,73.12
2027-01-06,12,75.29
2027-01-06,13,73.33
2027-01-06,14,68.53
2027-01-06,15,63.79
2027-01-06,16,61.89
2027-01-06,17,63.65
2027-01-06,18,67.01
2027-01-06,19,68.41
2027-01-06,20,65.81
2027-01-06,21,60.35
2027-01-06,22,54.86
2027-01-06,23,51.17
2027-01-06,24,49.4
2027-01-07,1,48.58
2027-01-07,2,48.59
2027-01-07,3,48.61
2027-01-07,4,48.71
2027-01-07,5,49.03
2027-01-07,6,49.91
2027-01-07,7,51.91
2027-01-07,8,55.62
2027-01-07,9,61.2
2027-01-07,10,67.73
2027-01-07,11,73.17
2027-01-07,12,75.34
2027-01-07,13,73.38
2027-01-07,14,68.58
2027-01-07,15,63.83
2027-01-07,16,61.93
2027-01-07,17,63.69
2027-01-07,18,67.06
2027-01-07,19,68.46
2027-01-07,20,65.86
2027-01-07,21,60.4
2027-01-07,22,54.9
2027-01-07,23,51.21
2027-01-07,24,49.43
2027-01-08,1,48.61
2027-01-08,2,48.62
2027-01-08,3,48.64
2027-01-08,4,48.74
2027-01-08,5,49.06
2027-01-08,6,49.94
2027-01-08,7,51.94
2027-01-08,8,55.66
2027-01-08,9,61.24
2027-01-08,10,67.77
2027-01-08,11,73.22
2027-01-08,12,75.39
2027-01-08,13,73.43
2027-01-08,14,68.63
2027-01-08,15,63.87
2027-01-08,16,61.97
2027-01-08,17,63.74
2027-01-08,18,67.1
2027-01-08,19,68.51
2027-01-08,20,65.9
2027-01-08,21,60.44
2027-01-08,22,54.93
2027-01-08,23,51.25
2027-01-08,24,49.47
2027-01-09,1,26.75
2027-01-09,2,26.76
2027-01-09,3,26.77
2027-01-09,4,26.82
2027-01-09,5,27.0
2027-01-09,6,27.49
2027-01-09,7,28.59
2027-01-09,8,30.63
2027-01-09,9,33.7
2027-01-09,10,37.3
2027-01-09,11,40.29
2027-01-09,12,41.49
2027-01-09,13,40.41
2027-01-09,14,37.77
2027-01-09,15,35.15
2027-01-09,16,34.11
2027-01-09,17,35.08
2027-01-09,18,36.93
2027-01-09,19,37.7
2027-01-09,20,36.27
2027-01-09,21,33.26
2027-01-09,22,30.23
2027-01-09,23,28.2
2027-01-09,24,27.22
2027-01-10,1,26.77
2027-01-10,2,26.77
2027-01-10,3,26.79
2027-01-10,4,26.84
2027-01-10,5,27.02
2027-01-10,6,27.5
2027-01-10,7,28.6
2027-01-10,8,30.65
2027-01-10,9,33.72
2027-01-10,10,37.32
2027-01-10,11,40.32
2027-01-10,12,41.51
2027-01-10,13,40.43
2027-01-10,14,37.79
2027-01-10,15,35.17
2027-01-10,16,34.13
2027-01-10,17,35.1
2027-01-10,18,36.95
2027-01-10,19,37.72
2027-01-10,20,36.29
2027-01-10,21,33.28
2027-01-10,22,30.25
2027-01-10,23,28.22
2027-01-10,24,27.24
2027-01-11,1,48.7
2027-01-11,2,48.7
2027-01-11,3,48.73
2027-01-11,4,48.82
2027-01-11,5,49.15
2027-01-11,6,50.03
2027-01-11,7,52.03
2027-01-11,8,55.75
2027-01-11,9,61.35
2027-01-11,10,67.89
2027-01-11,11,73.34
2027-01-11,12,75.52
2027-01-11,13,73.55
2027-01-11,14,68.74
2027-01-11,15,63.98
2027-01-11,16,62.08
2027-01-11,17,63.84
2027-01-11,18,67.22
2027-01-11,19,68.62
2027-01-11,20,66.01
2027-01-11,21,60.54
2027-01-11,22,55.02
2027-01-11,23,51.33
2027-01-11,24,49.55
2027-01-12,1,48.72
2027-01-12,2,48.72
2027-01-12,3,48.75
2027-01-12,4,48.85
2027-01-12,5,49.17
2027-01-12,6,50.05
2027-01-12,7,52.05
2027-01-12,8,55.78
2027-01-12,9,61.37
2027-01-12,10,67.92
2027-01-12,11,73.38
2027-01-12,12,75.55
2027-01-12,13,73.58
2027-01-12,14,68.77
2027-01-12,15,64.01
2027-01-12,16,62.11
2027-01-12,17,63.87
2027-01-12,18,67.25
2027-01-12,19,68.65
2027-01-12,20,66.04
2027-01-12,21,60.57
2027-01-12,22,55.05
2027-01-12,23,51.36
2027-01-12,24,49.57
2027-01-13,1,48.74
2027-01-13,2,48.74
2027-01-13,3,48.77
2027-01-13,4,48.87
2027-01-13,5,49.19
2027-01-13,6,50.07
2027-01-13,7,52.07
2027-01-13,8,55.8
2027-01-13,9,61.4
2027-01-13,10,67.94
2027-01-13,11,73.4
2027-01-13,12,75.58
2027-01-13,13,73.61
2027-01-13,14,68.8
2027-01-13,15,64.04
2027-01-13,16,62.13
2027-01-13,17,63.9
2027-01-13,18,67.27
2027-01-13,19,68.68
2027-01-13,20,66.07
2027-01-13,21,60.59
2027-01-13,22,55.07
2027-01-13,23,51.38
2027-01-13,24,49.59
2027-01-14,1,48.75
2027-01-14,2,48.76
2027-01-14,3,48.78
2027-01-14,4,48.88
2027-01-14,5,49.2
2027-01-14,6,50.09
2027-01-14,7,52.09
2027-01-14,8,55.82
2027-01-14,9,61.42
2027-01-14,10,67.97
2027-01-14,11,73.43
2027-01-14,12,75.61
2027-01-14,13,73.64
2027-01-14,14,68.82
2027-01-14,15,64.06
2027-01-14,16,62.15
2027-01-14,17,63.92
2027-01-14,18,67.3
2027-01-14,19,68.71
2027-01-14,20,66.09
2027-01-14,21,60.61
2027-01-14,22,55.09
2027-01-14,23,51.39
2027-01-14,24,49.61
2027-01-15,1,48.77
2027-01-15,2,48.77
2027-01-15,3,48.8
2027-01-15,4,48.9
2027-01-15,5,49.22
2027-01-15,6,50.1
2027-01-15,7,52.11
2027-01-15,8,55.84
2027-01-15,9,61.44
2027-01-15,10,67.99
2027-01-15,11,73.45
2027-01-15,12,75.63
2027-01-15,13,73.66
2027-01-15,14,68.84
2027-01-15,15,64.08
2027-01-15,16,62.17
2027-01-15,17,63.94
2027-01-15,18,67.32
2027-01-15,19,68.73
2027-01-15,20,66.11
2027-01-15,21,60.63
2027-01-15,22,55.11
2027-01-15,23,51.41
2027-01-15,24,49.62
2027-01-16,1,26.83
2027-01-16,2,26.83
2027-01-16,3,26.85
2027-01-16,4,26.9
2027-01-16,5,27.08
2027-01-16,6,27.56
2027-01-16,7,28.67
2027-01-16,8,30.72
2027-01-16,9,33.8
2027-01-16,10,37.4
2027-01-16,11,40.41
2027-01-16,12,41.61
2027-01-16,13,40.52
2027-01-16,14,37.87
2027-01-16,15,35.25
2027-01-16,16,34.2
2027-01-16,17,35.17
2027-01-16,18,37.03
2027-01-16,19,37.81
2027-01-16,20,36.37
2027-01-16,21,33.35
2027-01-16,22,30.32
2027-01-16,23,28.28
2027-01-16,24,27.3
2027-01-17,1,26.83
2027-01-17,2,26.84
2027-01-17,3,26.85
2027-01-17,4,26.9
2027-01-17,5,27.08
2027-01-17,6,27.57
2027-01-17,7,28.67
2027-01-17,8,30.72
2027-01-17,9,33.8
2027-01-17,10,37.41
2027-01-17,11,40.42
2027-01-17,12,41.62
2027-01-17,13,40.53
2027-01-17,14,37.88
2027-01-17,15,35.26
2027-01-17,16,34.21
2027-01-17,17,35.18
2027-01-17,18,37.04
2027-01-17,19,37.82
2027-01-17,20,36.38
2027-01-17,21,33.36
2027-01-17,22,30.32
2027-01-17,23,28.29
2027-01-17,24,27.31
2027-01-18,1,48.8
2027-01-18,2,48.8
2027-01-18,3,48.83
2027-01-18,4,48.92
2027-01-18,5,49.25
2027-01-18,6,50.13
2027-01-18,7,52.14
2027-01-18,8,55.87
2027-01-18,9,61.47
2027-01-18,10,68.03
2027-01-18,11,73.49
2027-01-18,12,75.67
2027-01-18,13,73.7
2027-01-18,14,68.88
2027-01-18,15,64.11
2027-01-18,16,62.21
2027-01-18,17,63.97
2027-01-18,18,67.36
2027-01-18,19,68.76
2027-01-18,20,66.15
2027-01-18,21,60.66
2027-01-18,22,55.14
2027-01-18,23,51.44
2027-01-18,24,49.65
2027-01-19,1,48.8
2027-01-19,2,48.81
2027-01-19,3,48.83
2027-01-19,4,48.93
2027-01-19,5,49.25
2027-01-19,6,50.13
2027-01-19,7,52.14
2027-01-19,8,55.87
2027-01-19,9,61.48
2027-01-19,10,68.03
2027-01-19,11,73.5
2027-01-19,12,75.68
2027-01-19,13,73.71
2027-01-19,14,68.89
2027-01-19,15,64.12
2027-01-19,16,62.21
2027-01-19,17,63.98
2027-01-19,18,67.36
2027-01-19,19,68.77
2027-01-19,20,66.15
2027-01-19,21,60.67
2027-01-19,22,55.14
2027-01-19,23,51.44
2027-01-19,24,49.66
2027-01-20,1,48.8
2027-01-20,2,48.81
2027-01-20,3,48.83
2027-01-20,4,48.93
2027-01-20,5,49.25
2027-01-20,6,50.14
2027-01-20,7,52.14
2027-01-20,8,55.87
2027-01-20,9,61.48
2027-01-20,10,68.03
2027-01-20,11,73.5
2027-01-20,12,75.68
2027-01-20,13,73.71
2027-01-20,14,68.89
2027-01-20,15,64.12
2027-01-20,16,62.21
2027-01-20,17,63.98
2027-01-20,18,67.36
2027-01-20,19,68.77
2027-01-20,20,66.16
2027-01-20,21,60.67
2027-01-20,22,55.14
2027-01-20,23,51.44
2027-01-20,24,49.66
2027-01-21,1,48.8
2027-01-21,2,48.81
2027-01-21,3,48.83
2027-01-21,4,48.93
2027-01-21,5,49.25
2027-01-21,6,50.13
2027-01-21,7,52.14
2027-01-21,8,55.87
2027-01-21,9,61.48
2027-01-21,10,68.03
2027-01-21,11,73.5
2027-01-21,12,75.68
2027-01-21,13,73.71
2027-01-21,14,68.89
2027-01-21,15,64.12
2027-01-21,16,62.21
2027-01-21,17,63.98
2027-01-21,18,67.36
2027-01-21,19,68.77
2027-01-21,20,66.15
2027-01-21,21,60.67
2027-01-21,22,55.14
2027-01-21,23,51.44
2027-01-21,24,49.66
2027-01-22,1,48.8
2027-01-22,2,48.8
2027-01-22,3,48.83
2027-01-22,4,48.92
2027-01-22,5,49.25
2027-01-22,6,50.13
2027-01-22,7,52.14
2027-01-22,8,55.87
2027-01-22,9,61.47
2027-01-22,10,68.03
2027-01-22,11,73.49
2027-01-22,12,75.67
2027-01-22,13,73.7
2027-01-22,14,68.88
2027-01-22,15,64.11
2027-01-22,16,62.21
2027-01-22,17,63.97
2027-01-22,18,67.36
2027-01-22,19,68.76
2027-01-22,20,66.15
2027-01-22,21,60.66
2027-01-22,22,55.14
2027-01-22,23,51.44
2027-01-22,24,49.65
2027-01-23,1,26.83
2027-01-23,2,26.84
2027-01-23,3,26.85
2027-01-23,4,26.9
2027-01-23,5,27.08
2027-01-23,6,27.57
2027-01-23,7,28.67
2027-01-23,8,30.72
2027-01-23,9,33.8
2027-01-23,10,37.41
2027-01-23,11,40.42
2027-01-23,12,41.62
2027-01-23,13,40.53
2027-01-23,14,37.88
2027-01-23,15,35.26
2027-01-23,16,34.21
2027-01-23,17,35.18
2027-01-23,18,37.04
2027-01-23,19,37.82
2027-01-23,20,36.38
2027-01-23,21,33.36
2027-01-23,22,30.32
2027-01-23,23,28.29
2027-01-23,24,27.31
2027-01-24,1,26.83
2027-01-24,2,26.83
2027-01-24,3,26.85
2027-01-24,4,26.9
2027-01-24,5,27.08
2027-01-24,6,27.56
2027-01-24,7,28.67
2027-01-24,8,30.72
2027-01-24,9,33.8
2027-01-24,10,37.4
2027-01-24,11,40.41
2027-01-24,12,41.61
2027-01-24,13,40.52
2027-01-24,14,37.87
2027-01-24,15,35.25
2027-01-24,16,34.2
2027-01-24,17,35.17
2027-01-24,18,37.03
2027-01-24,19,37.81
2027-01-24,20,36.37
2027-01-24,21,33.35
2027-01-24,22,30.32
2027-01-24,23,28.28
2027-01-24,24,27.3
2027-01-25,1,48.77
2027-01-25,2,48.77
2027-01-25,3,48.8
2027-01-25,4,48.9
2027-01-25,5,49.22
2027-01-25,6,50.1
2027-01-25,7,52.11
2027-01-25,8,55.84
2027-01-25,9,61.44
2027-01-25,10,67.99
2027-01-25,11,73.45
2027-01-25,12,75.63
2027-01-25,13,73.66
2027-01-25,14,68.84
2027-01-25,15,64.08
2027-01-25,16,62.17
2027-01-25,17,63.94
2027-01-25,18,67.32
2027-01-25,19,68.73
2027-01-25,20,66.11
2027-01-25,21,60.63
2027-01-25,22,55.11
2027-01-25,23,51.41
2027-01-25,24,49.62
2027-01-26,1,48.75
2027-01-26,2,48.76
2027-01-26,3,48.78
2027-01-26,4,48.88
2027-01-26,5,49.2
2027-01-26,6,50.09
2027-01-26,7,52.09
2027-01-26,8,55.82
2027-01-26,9,61.42
2027-01-26,10,67.97
2027-01-26,11,73.43
2027-01-26,12,75.61
2027-01-26,13,73.64
2027-01-26,14,68.82
2027-01-26,15,64.06
2027-01-26,16,62.15
2027-01-26,17,63.92
2027-01-26,18,67.3
2027-01-26,19,68.71
2027-01-26,20,66.09
2027-01-26,21,60.61
2027-01-26,22,55.09
2027-01-26,23,51.39
2027-01-26,24,49.61
2027-01-27,1,48.74
2027-01-27,2,48.74
2027-01-27,3,48.77
2027-01-27,4,48.87
2027-01-27,5,49.19
2027-01-27,6,50.07
2027-01-27,7,52.07
2027-01-27,8,55.8
2027-01-27,9,61.4
2027-01-27,10,67.94
2027-01-27,11,73.4
2027-01-27,12,75.58
2027-01-27,13,73.61
2027-01-27,14,68.8
2027-01-27,15,64.04
2027-01-27,16,62.13
2027-01-27,17,63.9
2027-01-27,18,67.27
2027-01-27,19,68.68
2027-01-27,20,66.07
2027-01-27,21,60.59
2027-01-27,22,55.07
2027-01-27,23,51.38
2027-01-27,24,49.59
2027-01-28,1,48.72
2027-01-28,2,48.72
2027-01-28,3,48.75
2027-01-28,4,48.85
2027-01-28,5,49.17
2027-01-28,6,50.05
2027-01-28,7,52.05
2027-01-28,8,55.78
2027-01-28,9,61.37
2027-01-28,10,67.92
2027-01-28,11,73.38
2027-01-28,12,75.55
2027-01-28,13,73.58
2027-01-28,14,68.77
2027-01-28,15,64.01
2027-01-28,16,62.11
2027-01-28,17,63.87
2027-01-28,18,67.25
2027-01-28,19,68.65
2027-01-28,20,66.04
2027-01-28,21,60.57
2027-01-28,22,55.05
2027-01-28,23,51.36
2027-01-28,24,49.57
2027-01-29,1,48.7
2027-01-29,2,48.7
2027-01-29,3,48.73
2027-01-29,4,48.82
2027-01-29,5,49.15
2027-01-29,6,50.03
2027-01-29,7,52.03
2027-01-29,8,55.75
2027-01-29,9,61.35
2027-01-29,10,67.89
2027-01-29,11,73.34
2027-01-29,12,75.52
2027-01-29,13,73.55
2027-01-29,14,68.74
2027-01-29,15,63.98
2027-01-29,16,62.08
2027-01-29,17,63.84
2027-01-29,18,67.22
2027-01-29,19,68.62
2027-01-29,20,66.01
2027-01-29,21,60.54
2027-01-29,22,55.02
2027-01-29,23,51.33
2027-01-29,24,49.55
2027-01-30,1,26.77
2027-01-30,2,26.77
2027-01-30,3,26.79
2027-01-30,4,26.84
2027-01-30,5,27.02
2027-01-30,6,27.5
2027-01-30,7,28.6
2027-01-30,8,30.65
2027-01-30,9,33.72
2027-01-30,10,37.32
2027-01-30,11,40.32
2027-01-30,12,41.51
2027-01-30,13,40.43
2027-01-30,14,37.79
2027-01-30,15,35.17
2027-01-30,16,34.13
2027-01-30,17,35.1
2027-01-30,18,36.95
2027-01-30,19,37.72
2027-01-30,20,36.29
2027-01-30,21,33.28
2027-01-30,22,30.25
2027-01-30,23,28.22
2027-01-30,24,27.24
2027-01-31,1,26.75
2027-01-31,2,26.76
2027-01-31,3,26.77
2027-01-31,4,26.82
2027-01-31,5,27.0
2027-01-31,6,27.49
2027-01-31,7,28.59
2027-01-31,8,30.63
2027-01-31,9,33.7
2027-01-31,10,37.3
2027-01-31,11,40.29
2027-01-31,12,41.49
2027-01-31,13,40.41
2027-01-31,14,37.77
2027-01-31,15,35.15
2027-01-31,16,34.11
2027-01-31,17,35.08
2027-01-31,18,36.93
2027-01-31,19,37.7
2027-01-31,20,36.27
2027-01-31,21,33.26
2027-01-31,22,30.23
2027-01-31,23,28.2
2027-01-31,24,27.22
2027-02-01,1,48.61
2027-02-01,2,48.62
2027-02-01,3,48.64
2027-02-01,4,48.74
2027-02-01,5,49.06
2027-02-01,6,49.94
2027-02-01,7,51.94
2027-02-01,8,55.66
2027-02-01,9,61.24
2027-02-01,10,67.77
2027-02-01,11,73.22
2027-02-01,12,75.39
2027-02-01,13,73.43
2027-02-01,14,68.63
2027-02-01,15,63.87
2027-02-01,16,61.97
2027-02-01,17,63.74
2027-02-01,18,67.1
2027-02-01,19,68.51
2027-02-01,20,65.9
2027-02-01,21,60.44
2027-02-01,22,54.93
2027-02-01,23,51.25
2027-02-01,24,49.47
2027-02-02,1,48.58
2027-02-02,2,48.59
2027-02-02,3,48.61
2027-02-02,4,48.71
2027-02-02,5,49.03
2027-02-02,6,49.91
2027-02-02,7,51.91
2027-02-02,8,55.62
2027-02-02,9,61.2
2027-02-02,10,67.73
