fecha,hora,generacion_kwh
2027-01-01,1,0.0
2027-01-01,2,0.0
2027-01-01,3,0.0
2027-01-01,4,0.0
2027-01-01,5,0.0
2027-01-01,6,0.0
2027-01-01,7,0.02
2027-01-01,8,0.12
2027-01-01,9,0.57
2027-01-01,10,2.12
2027-01-01,11,5.99
2027-01-01,12,12.98
2027-01-01,13,21.55
2027-01-01,14,27.4
2027-01-01,15,26.67
2027-01-01,16,19.89
2027-01-01,17,11.36
2027-01-01,18,4.97
2027-01-01,19,1.67
2027-01-01,20,0.43
2027-01-01,21,0.08
2027-01-01,22,0.01
2027-01-01,23,0.0
2027-01-01,24,0.0
2027-01-02,1,0.0
2027-01-02,2,0.0
2027-01-02,3,0.0
2027-01-02,4,0.0
2027-01-02,5,0.0
2027-01-02,6,0.0
2027-01-02,7,0.03
2027-01-02,8,0.21
2027-01-02,9,1.0
2027-01-02,10,3.69
2027-01-02,11,10.45
2027-01-02,12,22.65
2027-01-02,13,37.59
2027-01-02,14,47.78
2027-01-02,15,46.52
2027-01-02,16,34.7
2027-01-02,17,19.82
2027-01-02,18,8.67
2027-01-02,19,2.91
2027-01-02,20,0.75
2027-01-02,21,0.15
2027-01-02,22,0.02
2027-01-02,23,0.0
2027-01-02,24,0.0
2027-01-03,1,0.0
2027-01-03,2,0.0
2027-01-03,3,0.0
2027-01-03,4,0.0
2027-01-03,5,0.0
2027-01-03,6,0.0
2027-01-03,7,0.03
2027-01-03,8,0.16
2027-01-03,9,0.76
2027-01-03,10,2.82
2027-01-03,11,7.97
2027-01-03,12,17.28
2027-01-03,13,28.68
2027-01-03,14,36.46
2027-01-03,15,35.5
2027-01-03,16,26.47
2027-01-03,17,15.12
2027-01-03,18,6.62
2027-01-03,19,2.22
2027-01-03,20,0.57
2027-01-03,21,0.11
2027-01-03,22,0.02
2027-01-03,23,0.0
2027-01-03,24,0.0
2027-01-04,1,0.0
2027-01-04,2,0.0
2027-01-04,3,0.0
2027-01-04,4,0.0
2027-01-04,5,0.0
2027-01-04,6,0.0
2027-01-04,7,0.03
2027-01-04,8,0.16
2027-01-04,9,0.78
2027-01-04,10,2.89
2027-01-04,11,8.17
2027-01-04,12,17.7
2027-01-04,13,29.38
2027-01-04,14,37.35
2027-01-04,15,36.37
2027-01-04,16,27.12
2027-01-04,17,15.49
2027-01-04,18,6.78
2027-01-04,19,2.27
2027-01-04,20,0.58
2027-01-04,21,0.11
2027-01-04,22,0.02
2027-01-04,23,0.0
2027-01-04,24,0.0
2027-01-05,1,0.0
2027-01-05,2,0.0
2027-01-05,3,0.0
2027-01-05,4,0.0
2027-01-05,5,0.0
2027-01-05,6,0.0
2027-01-05,7,0.03
2027-01-05,8,0.21
2027-01-05,9,1.01
2027-01-05,10,3.73
2027-01-05,11,10.54
