k,variable,mae,mejora
1,es_esios_Dm1,42.18678725659901,
2,wind100_meteo,40.07305244277926,2.113734813819754
3,d1_is_weekend,38.642118588635284,1.430933854143973
4,wind_mw_Dm1,37.62873215075186,1.013386437883426
5,d1_dow_cos,37.068301850019424,0.5604303007324347
6,ree_grenov_prev,36.50023785955408,0.5680639904653404
7,ree_gsolar_prev,35.980128959861396,0.520108899692687
8,other_renewable_mw_Dm6,35.23939171761772,0.7407372422436751
9,ree_netflow_pt_Dm1,35.0837373251273,0.155654392490419
10,d1_is_festivo,35.01307344808756,0.07066387703974186
11,ventana_pisa_apagon,35.01307344808756,0.0
12,pbf_publicado_D,35.01307344808756,0.0
