k,metodo,mae
1,Spearman top-k,42.18678725659901
1,SFS,42.18678725659901
2,Spearman top-k,38.4470403736594
2,SFS,40.07305244277926
3,Spearman top-k,43.8354805554235
3,SFS,38.642118588635284
4,Spearman top-k,48.8002222456248
4,SFS,37.62873215075186
5,Spearman top-k,50.072298218881755
5,SFS,37.068301850019424
6,Spearman top-k,48.18224394423348
6,SFS,36.50023785955408
7,Spearman top-k,52.25728313150466
7,SFS,35.980128959861396
8,Spearman top-k,51.744599733700866
8,SFS,35.23939171761772
9,Spearman top-k,51.85913929156251
9,SFS,35.0837373251273
10,Spearman top-k,54.39549626076055
10,SFS,35.01307344808756
11,Spearman top-k,58.86183084334296
11,SFS,35.01307344808756
12,Spearman top-k,58.55294238129067
12,SFS,35.01307344808756
