variable,cluster,abs_rho,bloque,frontera
es_esios_Dm1,45,0.8133475603983819,precio,OK (pre-11:00)
es_esios_Dm6,45,0.8001910205930607,precio,OK (pre-11:00)
gas_mibgas,44,0.6852257476487518,combustibles,OK (pre-11:00)
gas_ttf_m1,44,0.6744606596703148,combustibles,OK (pre-11:00)
ree_gccgas_mw_Dm1,48,0.46202979144640266,real desfasado,OK (pre-11:00)
co2_eua_dec,46,0.46077427370721347,combustibles,OK (pre-11:00)
ree_gccgas_mw_Dm6,50,0.44126671546937024,real desfasado,OK (pre-11:00)
ree_gcoal_mw_Dm6,38,0.38845862874216824,real desfasado,OK (pre-11:00)
ree_gcoal_mw_Dm1,38,0.3861348377417359,real desfasado,OK (pre-11:00)
hydro_run_river_mw_Dm1,22,0.3700515864423548,real desfasado,OK (pre-11:00)
hydro_run_river_mw_Dm6,22,0.3488644347974146,real desfasado,OK (pre-11:00)
biomass_mw_Dm1,34,0.34202378344624546,real desfasado,OK (pre-11:00)
pumping_cons_mw_Dm6,51,0.3411686629304376,real desfasado,OK (pre-11:00)
ree_grenov_prev,11,0.33654215974337265,prevision D+1,OK (pre-11:00)
biomass_mw_Dm6,35,0.33022537569528404,real desfasado,OK (pre-11:00)
pumping_cons_mw_Dm1,49,0.30883058763140586,real desfasado,OK (pre-11:00)
waste_mw_Dm1,39,0.27374530065438046,real desfasado,OK (pre-11:00)
waste_mw_Dm6,39,0.2559819394791379,real desfasado,OK (pre-11:00)
wind100_meteo,28,0.23386699632932487,meteorologia,OK (pre-11:00)
ree_demanda_prev,8,0.22581455973813885,prevision D+1,OK (pre-11:00)
d1_regimen_tope_gas,47,0.22135354115359587,calendario,OK (pre-11:00)
d1_doy_sin,23,0.2110564737882241,calendario,OK (pre-11:00)
other_renewable_mw_Dm6,40,0.20450464204736893,real desfasado,OK (pre-11:00)
entsoe_load_Dm6,8,0.19984035992515498,real desfasado,OK (pre-11:00)
capdisp_hydro_mw,21,0.19591954330217173,capacidad,OK (pre-11:00)
ree_gwind_prev,28,0.19382082752613522,prevision D+1,OK (pre-11:00)
ree_gsolar_prev,10,0.19056441919532335,prevision D+1,OK (pre-11:00)
gen_peninsular_mw_Dm6,8,0.17928933692402632,real desfasado,OK (pre-11:00)
other_renewable_mw_Dm1,40,0.1767065386906968,real desfasado,OK (pre-11:00)
ssrd_meteo,10,0.17444435796822738,meteorologia,OK (pre-11:00)
meteo_es_forecast,41,0.16984411899677573,otros,OK (pre-11:00)
solar_fv_mw_Dm6,10,0.16569824912494635,real desfasado,OK (pre-11:00)
msl_meteo,15,0.14999096375298784,meteorologia,OK (pre-11:00)
capdisp_coal_antracita_mw,43,0.14765691477525741,capacidad,OK (pre-11:00)
ssrd_mean_met_Dm2,10,0.1471361062181931,meteorologia,OK (pre-11:00)
hora_cos,10,0.14616407483861968,calendario,OK (pre-11:00)
tp_acum_30d_met_Dm1,24,0.1443556256690883,meteorologia,OK (pre-11:00)
d1_month,23,0.14315403967850668,calendario,OK (pre-11:00)
d1_is_weekend,4,0.1342891466791442,calendario,OK (pre-11:00)
capdisp_ccgt_mw,32,0.11832171272479823,capacidad,OK (pre-11:00)
oil_mw_Dm6,40,0.11374676545696054,real desfasado,OK (pre-11:00)
d1_dow,4,0.1121374531405824,calendario,OK (pre-11:00)
d1_dow_sin,4,0.10945894224174182,calendario,OK (pre-11:00)
tcc_mean_met_Dm2,26,0.10613593976708213,meteorologia,OK (pre-11:00)
entsoe_load_Dm1,7,0.10351412369711666,real desfasado,OK (pre-11:00)
tp_acum_7d_met_Dm2,25,0.0969237313470758,meteorologia,OK (pre-11:00)
msl_mean_met_Dm2,16,0.09613842332992628,meteorologia,OK (pre-11:00)
oil_mw_Dm1,40,0.09514899291597582,real desfasado,OK (pre-11:00)
gen_peninsular_mw_Dm1,7,0.0940192834535156,real desfasado,OK (pre-11:00)
ree_gnuclear_mw_Dm1,31,0.08759108358723454,real desfasado,OK (pre-11:00)
ree_gsolter_mw_Dm1,9,0.08225486980343152,real desfasado,OK (pre-11:00)
hydro_dispatch_mw_Dm1,17,0.08108501138991869,real desfasado,OK (pre-11:00)
ree_netflow_ma_Dm1,36,0.07653802120543095,real desfasado,OK (pre-11:00)
ree_gsolter_mw_Dm6,9,0.07254421167414268,real desfasado,OK (pre-11:00)
ventana_pisa_apagon,1,0.07042810204305304,otros,OK (pre-11:00)
ree_gnuclear_mw_Dm6,31,0.07039549839903231,real desfasado,OK (pre-11:00)
imputado_apagon,1,0.06984851676582368,otros,OK (pre-11:00)
wind_mw_Dm6,14,0.061841354946778955,real desfasado,OK (pre-11:00)
hora,6,0.060999513028705474,control,OK (pre-11:00)
d2m_meteo,20,0.06097820627742318,meteorologia,OK (pre-11:00)
pbf_completo_D,1,0.05887496798357736,otros,OK (pre-11:00)
hydro_dispatch_mw_Dm6,17,0.05736972486173422,real desfasado,OK (pre-11:00)
ree_gotherthermal_mw_Dm6,40,0.054075549604365114,real desfasado,OK (pre-11:00)
ree_gotherthermal_mw_Dm1,40,0.052061042809928945,real desfasado,OK (pre-11:00)
d1_es_puente,3,0.050385101252321415,calendario,OK (pre-11:00)
capinst_waste_nonrenewable_mw,42,0.04922289978294666,capacidad,OK (pre-11:00)
tcc_meteo,27,0.046458407762838584,meteorologia,OK (pre-11:00)
wind100_mean_met_Dm2,29,0.04454817753556427,meteorologia,OK (pre-11:00)
ree_netflow_ma_Dm6,37,0.044101338429473926,real desfasado,OK (pre-11:00)
d1_is_festivo,52,0.035466063703326375,calendario,OK (pre-11:00)
d2m_mean_met_Dm2,20,0.03261823671422326,meteorologia,OK (pre-11:00)
capdisp_nuclear_mw,31,0.03164255692289888,capacidad,OK (pre-11:00)
capinst_total_autoconsume_mw,40,0.030660090874636965,capacidad,OK (pre-11:00)
capinst_wind_mw,40,0.030043711246204932,capacidad,OK (pre-11:00)
capinst_coal_mw,40,0.023620873817911853,capacidad,OK (pre-11:00)
ree_netflow_pt_Dm1,18,0.02181866562240614,real desfasado,OK (pre-11:00)
total_net_flow_mw_Dm6,12,0.02029142763634529,real desfasado,OK (pre-11:00)
pbf_publicado_D,2,0.0188695544132464,otros,OK (pre-11:00)
total_net_flow_mw_Dm1,13,0.01865010573727802,real desfasado,OK (pre-11:00)
wind_mw_Dm1,30,0.0179319234724075,real desfasado,OK (pre-11:00)
hora_sin,6,0.0158045535132968,calendario,OK (pre-11:00)
