variable,bloque,origen,rho,abs_rho,p_valor,n_unicos,frontera,signif_pero_irrelevante
pt_entsoe_D,precio,"spot_price (Europa, dia D)",0.8833260124744242,0.8833260124744242,0.0,17005,SIMULTANEA (casa a las 12:00),False
es_esios_D,precio,spot_price (lag),0.8832959963332326,0.8832959963332326,0.0,17074,TARGET disfrazado,False
es_esios_Dm1,precio,spot_price (lag),0.8133475603983819,0.8133475603983819,0.0,17071,OK (pre-11:00),False
es_esios_Dm6,precio,spot_price (lag),0.8001910205930607,0.8001910205930607,0.0,17060,OK (pre-11:00),False
fr_entsoe_D,precio,"spot_price (Europa, dia D)",0.7610497464986812,0.7610497464986812,0.0,21609,SIMULTANEA (casa a las 12:00),False
it_nord_entsoe_D,precio,"spot_price (Europa, dia D)",0.7170346566336767,0.7170346566336767,0.0,19756,SIMULTANEA (casa a las 12:00),False
gas_mibgas,combustibles,commodities,0.6852257476487518,0.6852257476487518,0.0,1714,OK (pre-11:00),False
gas_ttf_m1,combustibles,commodities,0.6744606596703148,0.6744606596703148,0.0,1322,OK (pre-11:00),False
de_lu_entsoe_D,precio,"spot_price (Europa, dia D)",0.6591382843190415,0.6591382843190415,0.0,21417,SIMULTANEA (casa a las 12:00),False
pl_entsoe_D,precio,"spot_price (Europa, dia D)",0.5706348323552718,0.5706348323552718,0.0,18645,SIMULTANEA (casa a las 12:00),False
pdbc_ccgt_mw_D,casacion PDBC,esios_pdbc_gen,0.4993797201313856,0.4993797201313856,0.0,22870,POSTERIOR (no usable),False
ree_gccgas_mw_Dm1,real desfasado,generation (real D-1/D-6),0.46202979144640266,0.46202979144640266,0.0,40130,OK (pre-11:00),False
co2_eua_dec,combustibles,commodities,0.46077427370721347,0.46077427370721347,0.0,1316,OK (pre-11:00),False
pdbc_coal_mw_D,casacion PDBC,esios_pdbc_gen,0.45958750110533264,0.45958750110533264,0.0,1257,POSTERIOR (no usable),False
ree_gccgas_mw_Dm6,real desfasado,generation (real D-1/D-6),0.44126671546937024,0.44126671546937024,0.0,40106,OK (pre-11:00),False
bil_generic_sales_mw_D,programa PBF,esios_pbf_bilateral,0.4009317725415732,0.4009317725415732,0.0,27902,POSTERIOR (no usable),False
bil_retail_free_buy_mw_D,programa PBF,esios_pbf_bilateral,0.3923890591274785,0.3923890591274785,0.0,41566,POSTERIOR (no usable),False
pdbc_other_renew_mw_D,casacion PDBC,esios_pdbc_gen,0.3893586856809014,0.3893586856809014,0.0,4228,POSTERIOR (no usable),False
ree_gcoal_mw_Dm6,real desfasado,generation (real D-1/D-6),0.38845862874216824,0.38845862874216824,0.0,11440,OK (pre-11:00),False
ree_gcoal_mw_Dm1,real desfasado,generation (real D-1/D-6),0.3861348377417359,0.3861348377417359,0.0,11423,OK (pre-11:00),False
pdbc_pumping_cons_mw_D,casacion PDBC,esios_pbf_gen,0.37276437147117847,0.37276437147117847,0.0,8107,POSTERIOR (no usable),False
hydro_run_river_mw_Dm1,real desfasado,generation (real D-1/D-6),-0.3700515864423548,0.3700515864423548,0.0,1673,OK (pre-11:00),False
hydro_run_river_mw_Dm6,real desfasado,generation (real D-1/D-6),-0.3488644347974146,0.3488644347974146,0.0,1673,OK (pre-11:00),False
biomass_mw_Dm1,real desfasado,generation (real D-1/D-6),0.34202378344624546,0.34202378344624546,0.0,524,OK (pre-11:00),False
pumping_cons_mw_Dm6,real desfasado,generation (real D-1/D-6),-0.3411686629304376,0.3411686629304376,0.0,4098,OK (pre-11:00),False
ree_grenov_prev,prevision D+1,forecast,-0.33654215974337265,0.33654215974337265,0.0,42437,OK (pre-11:00),False
biomass_mw_Dm6,real desfasado,generation (real D-1/D-6),0.33022537569528404,0.33022537569528404,0.0,524,OK (pre-11:00),False
pdbc_nuclear_mw_D,casacion PDBC,esios_pdbc_gen,-0.322096637128749,0.322096637128749,0.0,15322,POSTERIOR (no usable),False
pdbc_hydro_no_ugh_mw_D,casacion PDBC,esios_pdbc_gen,-0.31317816499174095,0.31317816499174095,0.0,9528,POSTERIOR (no usable),False
pumping_cons_mw_Dm1,real desfasado,generation (real D-1/D-6),-0.30883058763140586,0.30883058763140586,0.0,4097,OK (pre-11:00),False
pdbc_biogas_mw_D,casacion PDBC,esios_pdbc_gen,0.29815362300082615,0.29815362300082615,0.0,1016,POSTERIOR (no usable),False
pdbc_biomass_mw_D,casacion PDBC,esios_pdbc_gen,0.2773975717800515,0.2773975717800515,0.0,3850,POSTERIOR (no usable),False
waste_mw_Dm1,real desfasado,generation (real D-1/D-6),0.27374530065438046,0.27374530065438046,0.0,278,OK (pre-11:00),False
waste_mw_Dm6,real desfasado,generation (real D-1/D-6),0.2559819394791379,0.2559819394791379,0.0,278,OK (pre-11:00),False
pdbc_waste_mw_D,casacion PDBC,esios_pdbc_gen,0.25204272038103326,0.25204272038103326,0.0,3118,POSTERIOR (no usable),False
wind100_meteo,meteorologia,era5_weather_agg,-0.23386699632932487,0.23386699632932487,0.0,39836,OK (pre-11:00),False
ree_demanda_prev,prevision D+1,forecast,0.22581455973813885,0.22581455973813885,0.0,32431,OK (pre-11:00),False
