cluster,variable,abs_rho,bloque,frontera
1,ventana_pisa_apagon,0.07042810204305304,otros,OK (pre-11:00)
2,pbf_publicado_D,0.0188695544132464,otros,OK (pre-11:00)
3,d1_es_puente,0.050385101252321415,calendario,OK (pre-11:00)
4,d1_is_weekend,0.1342891466791442,calendario,OK (pre-11:00)
5,d1_dow_cos,0.008276393418671124,calendario,OK (pre-11:00)
6,hora,0.060999513028705474,control,OK (pre-11:00)
7,entsoe_load_Dm1,0.10351412369711666,real desfasado,OK (pre-11:00)
8,ree_demanda_prev,0.22581455973813885,prevision D+1,OK (pre-11:00)
9,ree_gsolter_mw_Dm1,0.08225486980343152,real desfasado,OK (pre-11:00)
10,ree_gsolar_prev,0.19056441919532335,prevision D+1,OK (pre-11:00)
11,ree_grenov_prev,0.33654215974337265,prevision D+1,OK (pre-11:00)
12,total_net_flow_mw_Dm6,0.02029142763634529,real desfasado,OK (pre-11:00)
13,total_net_flow_mw_Dm1,0.01865010573727802,real desfasado,OK (pre-11:00)
14,wind_mw_Dm6,0.061841354946778955,real desfasado,OK (pre-11:00)
15,msl_meteo,0.14999096375298784,meteorologia,OK (pre-11:00)
16,msl_mean_met_Dm2,0.09613842332992628,meteorologia,OK (pre-11:00)
17,hydro_dispatch_mw_Dm1,0.08108501138991869,real desfasado,OK (pre-11:00)
18,ree_netflow_pt_Dm1,0.02181866562240614,real desfasado,OK (pre-11:00)
19,ree_netflow_pt_Dm6,0.0082216382782739,real desfasado,OK (pre-11:00)
20,d2m_meteo,0.06097820627742318,meteorologia,OK (pre-11:00)
21,capdisp_hydro_mw,0.19591954330217173,capacidad,OK (pre-11:00)
22,hydro_run_river_mw_Dm1,0.3700515864423548,real desfasado,OK (pre-11:00)
23,d1_doy_sin,0.2110564737882241,calendario,OK (pre-11:00)
24,tp_acum_30d_met_Dm1,0.1443556256690883,meteorologia,OK (pre-11:00)
25,tp_acum_7d_met_Dm2,0.0969237313470758,meteorologia,OK (pre-11:00)
26,tcc_mean_met_Dm2,0.10613593976708213,meteorologia,OK (pre-11:00)
27,tcc_meteo,0.046458407762838584,meteorologia,OK (pre-11:00)
28,wind100_meteo,0.23386699632932487,meteorologia,OK (pre-11:00)
29,wind100_mean_met_Dm2,0.04454817753556427,meteorologia,OK (pre-11:00)
30,wind_mw_Dm1,0.0179319234724075,real desfasado,OK (pre-11:00)
31,ree_gnuclear_mw_Dm1,0.08759108358723454,real desfasado,OK (pre-11:00)
32,capdisp_ccgt_mw,0.11832171272479823,capacidad,OK (pre-11:00)
33,capdisp_pump_mw,0.00792863028459218,capacidad,OK (pre-11:00)
34,biomass_mw_Dm1,0.34202378344624546,real desfasado,OK (pre-11:00)
35,biomass_mw_Dm6,0.33022537569528404,real desfasado,OK (pre-11:00)
36,ree_netflow_ma_Dm1,0.07653802120543095,real desfasado,OK (pre-11:00)
37,ree_netflow_ma_Dm6,0.044101338429473926,real desfasado,OK (pre-11:00)
38,ree_gcoal_mw_Dm6,0.38845862874216824,real desfasado,OK (pre-11:00)
39,waste_mw_Dm1,0.27374530065438046,real desfasado,OK (pre-11:00)
40,other_renewable_mw_Dm6,0.20450464204736893,real desfasado,OK (pre-11:00)
41,meteo_es_forecast,0.16984411899677573,otros,OK (pre-11:00)
42,capinst_waste_nonrenewable_mw,0.04922289978294666,capacidad,OK (pre-11:00)
43,capdisp_coal_antracita_mw,0.14765691477525741,capacidad,OK (pre-11:00)
44,gas_mibgas,0.6852257476487518,combustibles,OK (pre-11:00)
45,es_esios_Dm1,0.8133475603983819,precio,OK (pre-11:00)
46,co2_eua_dec,0.46077427370721347,combustibles,OK (pre-11:00)
47,d1_regimen_tope_gas,0.22135354115359587,calendario,OK (pre-11:00)
48,ree_gccgas_mw_Dm1,0.46202979144640266,real desfasado,OK (pre-11:00)
49,pumping_cons_mw_Dm1,0.30883058763140586,real desfasado,OK (pre-11:00)
50,ree_gccgas_mw_Dm6,0.44126671546937024,real desfasado,OK (pre-11:00)
51,pumping_cons_mw_Dm6,0.3411686629304376,real desfasado,OK (pre-11:00)
52,d1_is_festivo,0.035466063703326375,calendario,OK (pre-11:00)
