,MAE,RMSE,sMAPE,captura_%,pico_1h_%,vs_naive_%
Ensemble,13.691,19.71,66.266,88.878,74.877,-20.4
Seq2Seq residuo + FT,14.16,20.249,67.817,88.09,71.429,-17.6
LightGBM residuo,14.768,19.839,68.067,87.773,78.325,-14.1
Seq2Seq residuo + pesos,14.87,20.754,70.574,87.335,72.414,-13.5
Seq2Seq residuo,15.569,21.341,72.661,87.275,67.98,-9.4
MLP residuo,17.104,24.774,72.78,85.885,69.458,-0.5
naive D (precio de hoy),17.191,26.031,72.441,86.303,67.488,0.0
LSTM apilada,18.082,22.551,72.204,89.225,76.355,5.2
Seq2Seq,18.529,22.645,72.174,93.99,81.773,7.8
naive D-6 (misma semana),26.467,38.453,88.522,85.367,72.414,54.0
MLP,38.292,45.6,90.018,34.982,26.108,122.7
