alpha,l1_ratio,MAE_val
0.01,0.1,14.731742024376425
0.01,0.3,14.733038787427926
0.01,0.5,14.736214563841463
0.01,0.7,14.741090954223795
0.001,0.1,14.741225650288682
0.001,0.3,14.74211122872774
0.001,0.5,14.743017889204147
0.001,0.7,14.743940173268543
0.001,0.9,14.744882671477518
0.001,1.0,14.745396768944065
0.01,0.9,14.748111414818224
0.01,1.0,14.752845681441372
0.1,0.9,14.826375199393551
0.1,1.0,14.838468918452142
0.1,0.7,14.894543784307098
0.1,0.5,15.02144757352217
0.1,0.3,15.172924473061768
0.1,0.1,15.340089295881214
1.0,1.0,15.706782293865038
1.0,0.9,16.38398391571964
1.0,0.7,17.587694353511726
1.0,0.5,18.645265100489315
5.0,1.0,19.18465179594835
1.0,0.3,19.515132859342387
1.0,0.1,20.202634497192573
5.0,0.9,21.29691760236386
10.0,1.0,21.665650144372325
5.0,0.7,24.69679249356076
5.0,0.5,26.38934800958347
10.0,0.9,27.030843535612224
5.0,0.3,27.64154390729279
5.0,0.1,28.651031084784798
10.0,0.7,30.419928421989376
10.0,0.5,31.91612583928762
10.0,0.3,32.87979358172931
10.0,0.1,33.61392189513628
