alpha,l1_ratio,MAE_val,n_iter,convergio
0.1,1.0,14.563871444927265,93,True
1.0,1.0,14.847142995611541,32,True
0.1,0.9,15.096716359173834,85,True
0.01,1.0,15.735092521698652,134,True
0.01,0.9,15.77561089696363,130,True
1.0,0.9,15.806623567968458,42,True
0.1,0.7,15.839531707610371,80,True
0.01,0.7,15.842127431521671,129,True
0.001,1.0,15.893969312023017,190,True
0.001,0.9,15.89666310393896,193,True
0.01,0.5,15.898873593889883,144,True
0.001,0.7,15.902050667312105,201,True
0.001,0.5,15.90741541451917,208,True
0.001,0.3,15.912787534484734,216,True
0.001,0.1,15.918189820161933,231,True
0.01,0.3,15.953544971229682,150,True
0.01,0.1,16.00849476615888,157,True
0.1,0.5,16.289609477452924,77,True
0.1,0.3,16.623397293920128,73,True
0.1,0.1,16.87559103070566,82,True
1.0,0.7,17.44184437366613,32,True
1.0,0.5,18.198336952417105,25,True
1.0,0.3,18.615572989213756,22,True
5.0,1.0,18.93774689099652,20,True
1.0,0.1,19.00880139759716,22,True
5.0,0.9,21.264459276174485,18,True
10.0,1.0,21.5281722510491,19,True
5.0,0.7,23.19652989260917,13,True
5.0,0.5,24.043450672771304,11,True
5.0,0.3,24.634637030464702,10,True
5.0,0.1,25.211139682280137,10,True
10.0,0.9,26.870425772154963,12,True
10.0,0.7,29.165497911696445,10,True
10.0,0.5,29.442696627086416,9,True
10.0,0.3,29.52925671244572,8,True
10.0,0.1,29.722301889934762,7,True
