,MAE,RMSE,sMAPE,captura_%,pico_1h_%,vs_naive_%
Ensemble,11.954,16.685,63.584,91.475,78.673,-28.4
GRU residuo,12.833,17.623,66.954,89.357,73.46,-23.2
LSTM residuo,13.056,18.193,67.569,90.24,72.986,-21.8
Conv1D+LSTM residuo,13.088,18.518,67.695,89.704,74.408,-21.6
Seq2Seq residuo + pesos,13.215,18.285,67.697,89.366,76.303,-20.9
Seq2Seq residuo + FT,13.28,18.579,68.182,89.614,75.829,-20.5
SimpleRNN residuo,13.411,18.041,69.896,89.976,76.303,-19.7
Seq2Seq residuo,13.425,18.517,68.026,89.797,75.355,-19.6
LightGBM residuo,14.169,19.055,68.329,87.083,75.829,-15.2
Seq2Seq,14.584,19.201,69.986,91.921,81.517,-12.7
naive D (precio de hoy),16.7,25.548,72.168,86.578,68.246,0.0
SARIMA (s=7),16.904,22.762,74.07,87.262,71.564,1.2
Holt-Winters (s=7),16.92,23.32,75.347,87.227,72.512,1.3
MLP residuo,16.961,22.443,75.304,85.177,67.773,1.6
MLP,19.802,24.748,75.122,90.41,82.938,18.6
LSTM apilada,20.077,25.806,79.341,84.231,70.142,20.2
naive D-6 (misma semana),26.41,38.401,90.609,85.054,72.986,58.1
