alpha,l1_ratio,MAE_val
0.1,1.0,14.999259087206388
0.1,0.9,15.05929233457048
0.01,0.3,15.068396557329299
0.01,0.1,15.069218414919348
0.01,0.5,15.07120488046442
0.01,0.7,15.077380750471683
0.01,0.9,15.087604138222543
0.01,1.0,15.094889197391584
0.001,0.1,15.10083275476796
0.001,0.3,15.102372241094724
0.001,0.5,15.10395855622836
0.001,0.7,15.105582527615054
0.001,0.9,15.107240360466307
0.001,1.0,15.108083389505753
0.1,0.7,15.206133970983196
0.1,0.5,15.422734267658058
0.1,0.3,15.657312900153833
1.0,1.0,15.825102226882942
0.1,0.1,15.895765057048491
1.0,0.9,16.77304720204061
1.0,0.7,18.37791481653907
5.0,1.0,19.028799699641972
1.0,0.5,19.653570026459697
1.0,0.3,20.652064360953702
1.0,0.1,21.49470626298255
10.0,1.0,21.664185263830333
5.0,0.9,22.47933358510735
5.0,0.7,26.27966525499106
10.0,0.9,27.846120105982916
5.0,0.5,28.28322038970755
5.0,0.3,29.77337359735242
5.0,0.1,30.946629165973334
10.0,0.7,31.975123834063623
10.0,0.5,33.78918923577137
10.0,0.3,34.910329700855165
10.0,0.1,35.71597565600405
