familia,autor,tipo,semilla,parametros,MAE_val,MAE_test,captura_val_%,captura_test_%,pico_1h_test_%,vs_naive_val_%,movimiento_test_%,corr_cambio_test,forma_vs_D_test,n_dias_val,n_dias_test
gru,Torgio,red,42,194753,14.278,13.296,88.7,89.64,75.94,-28.4,65.9,0.695,0.959,365,212
gru,Torgio,red,43,194753,14.066,13.383,88.9,88.86,75.47,-29.5,71.5,0.693,0.947,365,212
gru,Torgio,red,44,194753,14.052,12.886,87.98,90.38,79.72,-29.6,73.3,0.711,0.943,365,212
conv1d_lstm,Torgio,red,42,285089,14.553,13.377,87.53,88.33,71.23,-27.0,68.0,0.676,0.957,365,212
conv1d_lstm,Torgio,red,43,285089,14.456,13.965,87.41,89.39,73.58,-27.5,74.0,0.665,0.943,365,212
conv1d_lstm,Torgio,red,44,285089,15.031,14.249,87.1,88.04,75.0,-24.6,80.5,0.658,0.934,365,212
seq2seq,Torgio,red,42,258017,14.816,13.926,86.94,88.14,70.28,-25.7,64.0,0.665,0.968,365,212
seq2seq,Torgio,red,43,258017,13.966,13.277,88.09,89.11,74.06,-30.0,70.4,0.684,0.949,365,212
seq2seq,Torgio,red,44,258017,14.457,13.179,87.75,89.08,73.11,-27.5,65.6,0.685,0.958,365,212
simplernn,Torgio,red,42,33985,15.503,14.567,85.39,86.96,69.81,-22.3,73.3,0.653,0.966,365,212
simplernn,Torgio,red,43,33985,15.179,13.887,86.31,87.22,71.7,-23.9,65.2,0.677,0.972,365,212
simplernn,Torgio,red,44,33985,15.383,13.929,85.99,87.91,73.11,-22.9,66.8,0.643,0.968,365,212
lstm,Torgio,red,42,315288,13.516,14.495,87.04,86.79,74.53,-32.2,87.3,0.691,0.914,365,212
lstm,Torgio,red,43,315288,13.296,15.778,86.65,87.84,72.17,-33.3,99.6,0.701,0.919,365,212
lstm,Torgio,red,44,315288,13.559,13.859,87.36,87.32,70.75,-32.0,80.5,0.691,0.924,365,212
denso,Torgio,red,42,547096,13.104,12.333,87.63,87.55,73.58,-34.3,73.3,0.743,0.955,365,212
denso,Torgio,red,43,547096,12.858,14.059,87.13,88.38,75.94,-35.5,86.7,0.718,0.934,365,212
denso,Torgio,red,44,547096,12.843,13.466,87.19,89.54,74.53,-35.6,75.8,0.725,0.956,365,212
boosting,Torgio,arbol,42,9953,13.661,14.533,87.67,88.24,76.89,-31.5,92.9,0.677,0.923,365,212
boosting,Torgio,arbol,43,9462,13.716,14.505,88.09,88.73,75.94,-31.2,92.6,0.679,0.926,365,212
boosting,Torgio,arbol,44,10059,13.764,14.611,87.6,88.92,76.89,-31.0,93.6,0.68,0.924,365,212
seq2seq_absoluto,Torgio,red,42,258017,16.547,15.725,91.54,92.16,81.6,-17.1,106.2,0.672,0.911,365,212
seq2seq_absoluto,Torgio,red,43,258017,16.411,15.953,90.84,93.05,82.08,-17.7,103.8,0.651,0.915,365,212
seq2seq_absoluto,Torgio,red,44,258017,15.401,15.276,90.45,92.84,80.66,-22.8,102.4,0.678,0.901,365,212
lgbm_nucleo,Willy,arbol,42,1900,13.031,14.334,90.82,90.52,76.42,-34.7,111.6,0.722,0.885,365,212
lgbm_nucleo,Willy,arbol,43,1900,13.008,14.164,90.22,90.85,74.06,-34.8,110.8,0.723,0.886,365,212
lgbm_nucleo,Willy,arbol,44,1900,13.145,14.245,89.84,90.2,74.53,-34.1,111.9,0.723,0.882,365,212
ridge,Samuel,lineal,42,62,17.579,19.176,90.84,92.55,81.6,-11.9,121.2,0.677,0.908,365,212
elasticnet,Samuel,lineal,42,62,15.251,14.075,90.36,90.54,77.83,-23.5,77.8,0.661,0.923,365,212
sarima,Samuel,estadistico,42,5,22.836,23.791,81.37,86.31,68.87,14.5,128.2,0.304,0.998,365,212
sarimax,Samuel,estadistico,42,64,18.006,21.451,90.14,90.26,78.77,-9.7,135.5,0.684,0.885,365,212
